,logic_gate,max,unique,sum,Deep,Fanouts
0,g000,8,[8],8,-4,5
1,g001,8,[8 3],11,-3,1
2,g002,19,[19],19,-4,4
3,g003,17,[17],17,-3,4
4,g004,7,[7 4 2],15,-3,2
5,g005,13,[13  3],16,-2,3
6,g006,29,[29],29,-2,5
7,g007,30,[30],30,-3,4
8,g008,15,[15  4  2],21,-3,2
9,g009,6,[6],6,-4,1
10,g010,19,[19 13],32,-3,4
11,g011,8,[8],8,-4,1
12,g012,14,[14  3],17,-3,4
13,g013,7,[7],7,-4,1
14,g014,6,[6],6,-4,2
15,g015,10,[10  3  1],15,-3,2
16,g016,48,[48 29 27  5],109,-2,3
17,g017,100,[100   8],208,-1,19
18,g018,100,[100],100,0,5
19,g019,7,[7],7,-4,2
20,g020,5,[5 2 1],14,-4,1
21,g021,12,[12  7  4  2],25,-3,3
22,g022,24,[24  3],27,-3,1
23,g023,17,[17  6],23,-4,1
24,g024,17,[17 11],39,-3,3
25,g025,15,[15],15,-4,1
26,g026,15,[15],15,-3,2
27,g027,12,[12  6],18,-4,2
28,g028,8,[8 6 5 1],20,-3,2
29,g029,13,[13],13,-4,1
30,g030,13,[13],13,-3,2
31,g031,39,[39 14  9  4  2],68,-2,1
32,g032,18,[18  8],26,-4,1
33,g033,18,[18 10  8],54,-3,2
34,g034,18,[18],18,-3,1
35,g035,29,[29  3],61,-2,2
36,g036,13,[13  5],18,-4,1
37,g037,13,[13  8  5],39,-3,2
38,g038,13,[13],13,-3,1
39,g039,29,[29  2],60,-2,2
40,g040,15,[15],15,-4,2
41,g041,17,[17],17,-4,1
42,g042,25,[25  3],31,-3,2
43,g043,20,[20],20,-4,2
44,g044,15,[15],15,-4,1
45,g045,27,[27  6  5],38,-3,2
46,g046,15,[15],15,-4,2
47,g047,16,[16],16,-4,2
48,g048,11,[11  4],15,-4,1
49,g049,11,[11  4],15,-3,2
50,g050,30,[30  7  3],40,-3,2
51,g051,18,[18],18,-4,2
52,g052,19,[19],19,-4,2
53,g053,15,[15  5],20,-4,1
54,g054,15,[15  5],20,-3,2
55,g055,28,[28  8  4],40,-3,2
56,g056,44,[44 15  9  6],74,-2,1
57,g057,100,[100  64  53  24],241,-1,19
58,g058,100,[100],100,0,3
59,g059,6,[6 4 1],18,-3,1
60,g060,4,[4],4,-4,1
61,g061,4,[4],8,-3,1
62,g062,8,[8],8,-3,1
63,g063,42,[42 11  6  1],60,-2,1
64,g064,11,[11],11,-3,1
65,g065,11,[11  7],25,-2,1
66,g066,21,[21  8],50,-2,1
67,g067,8,[8],8,-3,1
68,g068,8,[8 5 4 1],18,-2,1
69,g069,11,[11],11,-3,2
70,g070,15,[15  5],20,-2,1
71,g071,55,[55  9  7  4  3],78,-1,2
72,g072,7,[7 6 4 2],19,-2,1
73,g073,15,[15],15,-3,1
74,g074,17,[17  1],18,-2,1
75,g075,8,[8 5 3 2],18,-2,1
76,g076,18,[18],18,-2,2
77,g077,17,[17  6],23,-2,1
78,g078,52,[52 12  6  1],71,-1,2
79,g079,5,[5 4 3 1],13,-2,1
80,g080,12,[12],12,-2,2
81,g081,12,[12  3  2],17,-2,1
82,g082,7,[7 5 3 2],17,-2,1
83,g083,16,[16],16,-2,2
84,g084,17,[17  6  5],28,-2,1
85,g085,49,[49 12  4  1],66,-1,2
86,g086,6,[6 4 2],18,-2,1
87,g087,11,[11],11,-3,1
88,g088,17,[17  7  1],25,-2,1
89,g089,8,[8 6],20,-2,1
90,g090,16,[16],16,-2,2
91,g091,16,[16  8  3],27,-2,1
92,g092,52,[52  8  4  2],66,-1,2
93,g093,100,[100  45  29  12],286,0,10
94,g094,8,[8 3],11,-1,1
95,g095,58,[58 26  8  3],95,-1,1
96,g096,51,[51 15  4],74,-3,2
97,g097,10,[10  8],18,-2,1
98,g098,56,[56 20  7  1],85,-3,2
99,g099,50,[50 32  5],87,-2,2
100,g100,12,[12],12,-3,2
101,g101,23,[23  9  6],38,-3,2
102,g102,35,[35 13  8],56,-3,1
103,g103,42,[42 25  6],73,-2,2
104,g104,41,[41 17  3  1],62,-3,1
105,g105,51,[51 32  5],88,-2,2
106,g106,32,[32 23 18  8],81,-1,1
107,g107,19,[19],19,-2,2
108,g108,48,[48 15 13],76,-2,2
109,g109,49,[49 20 10],79,-3,1
110,g110,69,[69 35  9],113,-2,2
111,g111,59,[59 21  6  2],88,-3,2
112,g112,7,[7 5],12,-2,1
113,g113,6,[6 5],11,-4,1
114,g114,6,[6 4],10,-3,1
115,g115,6,[6 2],8,-2,1
116,g116,16,[16],16,-4,1
117,g117,26,[26 13  6],45,-3,1
118,g118,46,[46 20 13  6  3],88,-2,2
119,g119,37,[37 30 19 11],97,-1,1
120,g120,100,[100  37   5   3],145,0,1
121,g121,27,[27 11  9  3],50,-2,5
122,g122,51,[51],51,-2,1
123,g123,65,[65 37 11],113,-1,3
124,g124,48,[48],48,-2,1
125,g125,58,[58 41  5],104,-1,4
126,g126,84,[84 46  9  6  4],149,-1,2
127,g127,59,[59],59,-2,1
128,g128,84,[84 47  8],139,-1,5
129,g129,100,[100  33  26  10],169,0,1
130,g130,84,[84  2],90,-1,2
131,g131,63,[63  2],65,-1,1
132,g132,100,[100  36  20  10],166,0,1
133,g133,15,[15 11  3  2  1],32,-2,1
134,g134,68,[68 43 33],177,-1,1
135,g135,76,[76 43 14],133,-1,1
136,g136,100,[100  22   8],130,0,1
