,logic_gate,max,unique,sum,Deep,Fanouts
0,g000,100,[  8  26  23   9   7 100  36  18  16  15   4],480,-1,2
1,g001,100,[  8   3  26  20   9   6   5 100  39  16  10   2  11],371,-3,16
2,g002,100,[ 19  26  23  11   8   4 100  44  17  16  10   5   3   2],488,-1,2
3,g003,100,[ 17  26   8 100  29  16   4  88  64  23  18],516,-4,3
4,g004,100,[  7   4   2  24  19   8   6   5 100  45  18  15  13   3  82  62  21  17],591,-4,3
5,g005,100,"[ 13   3  24  19   8   6   5 100  46   7  15  11   4   2  82  61  27  20
  14]",591,-5,1
6,g006,87,[29 24 18  7  6  5 87 15 11  3  2 82 57 22 21 14],409,-4,1
7,g007,100,[ 30  20  12   5   4   3 100   1  15   6  82  65  25  21  19],526,-3,1
8,g008,100,[ 15   4   2  20  12   5   3 100  40  14],358,-1,2
9,g009,100,[  6  20  16   8   5   3 100  40  11  15  28],274,-5,2
10,g010,100,[ 19  13  26  15   8   4   3 100  35  16  14   6   5  45],328,-4,2
11,g011,83,[ 8 26 25 18  6  1 83 19 16 14  9  4 82 43],447,-4,1
12,g012,100,[ 14   3  12  10   5   2 100  33   7  82  48  34   8   6],484,-3,1
13,g013,100,[  7  15  12   2   1 100   5  10   4   3  82  61  21  19],385,-2,2
14,g014,100,[  6  22  17   7   4 100  35  12  20  15  10   3],382,-5,2
15,g015,33,[10  3  1 22 16  8  5 33  2 20 12  4 29],234,-4,2
16,g016,100,[ 48  29  27   5  22  18   7   4 100   1  20  13   2  10],427,-4,2
17,g017,100,[100   8  22   6  48  28  15  20   5],558,-3,2
18,g018,100,[100  20  15   5  35  18  13   3   2   1],436,-4,2
19,g019,100,[  7  20  17   9   6   2 100  73  27  19  18  13   5   3  34],385,-4,2
20,g020,100,[  5   2   1  20  16   6   4 100  74  34  18  14  46  19],471,-4,2
21,g021,100,"[ 12   7   4   2  22  18  11   6   1 100  78  32  24  20  17   8   3  82
  16]",491,-3,1
22,g022,100,"[ 24   3  22  21  16   4   1 100  76  32  23  20  10   2  82  42  30   7
   5]",561,-2,3
23,g023,100,[ 17   6   9   2   1 100  72  27  24  21   4   3],404,-1,2
24,g024,100,"[ 17  11  21  16   6   4 100  76  29  25  22  15   8   5   2  91  67  26
  20]",620,-5,1
25,g025,100,[ 15  21  17   8   5   4 100  73  28  24  91  69  26  19],600,-4,2
26,g026,100,[ 15  21  18   7   6   5 100  74  27  25  22  14   2  88  65],587,-6,1
27,g027,100,[ 12   6  21   3 100  73  27  26  20  88  68  24  23],539,-5,3
28,g028,100,"[  8   6   5   1  24  17   7   4 100  74  34  31   9  18  15  88  69  25
  20]",600,-5,1
29,g029,100,[ 13  24  19  11   5   3 100  71  23  18  15   6   4  88  63  21],579,-4,2
30,g030,100,[ 13  24  15   6   5   4 100  80  32  25  23  18  14  88  66  19],593,-4,3
31,g031,100,"[ 39  14   9   4   2  21  12   6 100  78  33  23  22  16  10  82  60  20
  18]",624,-3,3
32,g032,100,[ 18   8  21  20  12   5   3 100  78  32  26  17  10   4   1],407,-5,3
33,g033,100,[ 18  10   8   9   7   1 100  76  27  25  24  12   5   2   6],371,-4,4
34,g034,100,[ 18  25   9   6   3 100  82  31  27  24  17  15   7   2],394,-4,4
35,g035,100,[ 29   3  25  19   8   6   5 100  76  28  27  21  17  14   4   2],426,-3,4
36,g036,100,[ 13   5  25  18   8   7   3 100  72  28  24  20  17  12   4   1  22],386,-5,2
37,g037,31,[13  8  5 25 31 17  4  1],125,-5,2
38,g038,25,[13 25 20  8  7  5 17  6  2 10  1],143,-4,2
39,g039,30,[29  2 25 22 12 10 30  7 17  6  4],229,-3,12
40,g040,100,[ 15  17  11   4   3   7   9   5   1 100],200,-1,2
41,g041,82,[17 23  7  3 34 24  1 15  2 82 64 27 20],373,-4,1
42,g042,95,[25  3 10  9  6  2  1 47 14  7 95],252,-2,8
43,g043,82,[20 24  7  3 14  2 82 28],284,-4,1
44,g044,82,[15  9  5  4  3 18  7 82 51 22 16 13],286,-3,3
