,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
0,g096,400,[400 205 194   1],1200,800,0,1
1,g098,400,[400 205 195],1200,800,0,1
2,g102,400,[400 216 184],1200,800,0,1
3,g108,400,[400 205 195],1200,800,0,1
4,g113,400,[400 209 191],1200,800,0,1
5,g117,400,[400 200 199   1],1200,800,0,1
6,g122,400,[400 220 179   1],1200,800,0,1
7,g124,400,[400 213 186   1],1200,800,0,1
8,g126,400,[400 206 193   1],1200,800,0,1
9,g138,400,[400 206 192   2],1200,800,0,1
10,g144,400,[400 201 199],1200,800,0,1
11,g147,400,[400 213 187],1200,800,0,1
12,g151,400,[400 204 196],1200,800,0,1
13,g153,400,[400 209 190   1],1200,800,0,1
14,g158,400,[400 206 194],1200,800,0,1
15,g160,400,[400 203 196   1],1200,800,0,1
16,g162,400,[400 202 197   1],1200,800,0,1
17,g167,400,[400 208 192],1200,800,0,1
18,g171,400,[400 207 192   1],1200,800,0,1
19,g092,400,[400 399 200 198   1],1198,798,0,1
20,g094,400,[400 399 201 197   1],1198,798,0,1
21,g104,400,[400 399 201 198],1198,798,0,1
22,g106,400,[400 399 201 197   1],1198,798,0,1
23,g115,400,[400 399 218 180   1],1198,798,0,1
24,g119,400,[400 399 202 196   1],1198,798,0,1
25,g128,400,[400 399 202 196   1],1198,798,0,1
26,g149,400,[400 399 202 195   2],1198,798,0,1
27,g156,400,[400 399 217 181   1],1198,798,0,1
28,g165,400,[400 399 208 191],1198,798,0,1
29,g169,400,[400 399 209 190],1198,798,0,1
30,g140,400,[400 398 203 194   1],1196,796,0,1
31,g142,400,[400 398 211 187],1196,796,0,1
32,g157,400,[400 210  58  13],1081,681,-1,1
33,g141,400,[400 213  53  14],1080,680,-1,1
34,g159,400,[400 214  54  12],1080,680,-1,1
35,g139,400,[400 207  55  13],1075,675,-1,1
36,g143,400,[400 206  57  11],1074,674,-1,1
37,g161,400,[400 205  56  12],1073,673,-1,1
38,g107,400,[400 206  45  15],1066,666,-1,1
39,g101,400,[400 206  45  13],1064,664,-1,1
40,g121,400,[400 205  44  12],1061,661,-1,1
41,g127,400,[400 204  43  13],1060,660,-1,1
42,g125,400,[400 205  44  10],1059,659,-1,1
43,g105,400,[400 204  43   9],1056,656,-1,1
44,g103,400,[400 205  44   5],1054,654,-1,1
45,g123,400,[400 205  44   5],1054,654,-1,1
46,g150,400,[400 215  23  10],1048,648,-1,1
47,g166,400,[400 210  25  13],1048,648,-1,1
48,g168,400,[400 214  22  10],1046,646,-1,1
49,g137,400,[400 184  48  13],1045,645,-1,1
50,g155,400,[400 184  48  11],1043,643,-1,1
51,g152,400,[400 205  24  11],1040,640,-1,1
52,g148,400,[400 207  22  10],1039,639,-1,1
53,g170,400,[400 205  19  13],1037,637,-1,1
54,g164,400,[400 185  23  11],1019,619,-1,1
55,g146,400,[400 186  19   8],1013,613,-1,1
56,g112,400,[400 105  24   5],934,534,-1,1
57,g114,400,[400 103  22   8],933,533,-1,1
58,g116,400,[400 104  23   4],931,531,-1,1
59,g118,400,[400 103  22   2],927,527,-1,1
