,logic_gate,max,unique,sum,Deep,Fanouts
0,g000,100,[  8  26  23   9   7 100  36  18],334,0,1
1,g001,100,[  8   3  26  20   9   6   5 100  39],324,0,1
2,g002,100,[ 19  26  23  11   8   4 100  44  17],352,0,3
3,g003,100,[ 17  26   8 100  29],280,0,1
4,g004,100,[  7   4   2  24  19   8   6   5 100  45  18],344,0,1
5,g005,100,[ 13   3  24  19   8   6   5 100  46   7],350,-1,2
6,g006,87,[29 24 18  7  6  5 87],176,-1,1
7,g007,100,[ 30  20  12   5   4   3 100   1],275,0,1
8,g008,100,[ 15   4   2  20  12   5   3 100  40  14],219,0,1
9,g009,100,[  6  20  16   8   5   3 100  40  11],209,0,1
10,g010,100,[ 19  13  26  15   8   4   3 100  35  16],239,0,1
11,g011,83,[ 8 26 25 18  6  1 83 19],269,-1,2
12,g012,100,[ 14   3  12  10   5   2 100  33],282,0,1
13,g013,100,[  7  15  12   2   1 100   5],157,0,1
14,g014,100,[  6  22  17   7   4 100  35  12],309,0,4
15,g015,33,[10  3  1 22 16  8  5 33  2],161,-1,3
16,g016,100,[ 48  29  27   5  22  18   7   4 100   1],368,0,1
17,g017,100,[100   8  22   6  48  28  15],527,0,1
18,g018,100,[100  20  15   5  35],385,0,1
19,g019,100,[  7  20  17   9   6   2 100  73  27  19],307,-3,1
20,g020,100,[  5   2   1  20  16   6   4 100  74  34],314,-3,1
21,g021,100,[ 12   7   4   2  22  18  11   6   1 100  78  32  24],339,-2,1
22,g022,100,[ 24   3  22  21  16   4   1 100  76  32  23],343,-1,1
23,g023,100,[ 17   6   9   2   1 100  72  27  24  21],294,-3,1
24,g024,100,[ 17  11  21  16   6   4 100  76  29  25  22],344,-3,1
25,g025,100,[ 15  21  17   8   5   4 100  73  28  24],316,-2,1
26,g026,100,[ 15  21  18   7   6   5 100  74  27  25  22],320,-1,1
27,g027,100,[ 12   6  21   3 100  73  27  26  20],288,0,1
28,g028,100,[  8   6   5   1  24  17   7   4 100  74  34  31   9],326,-3,1
29,g029,100,[ 13  24  19  11   5   3 100  71  23],317,-3,1
30,g030,100,[ 13  24  15   6   5   4 100  80  32  25  23],327,-2,1
31,g031,100,[ 39  14   9   4   2  21  12   6 100  78  33  23  22],369,-1,1
32,g032,100,[ 18   8  21  20  12   5   3 100  78  32  26],343,-3,1
33,g033,100,[ 18  10   8   9   7   1 100  76  27  25  24],334,-3,1
34,g034,100,[ 18  25   9   6   3 100  82  31  27  24],343,-2,1
35,g035,100,[ 29   3  25  19   8   6   5 100  76  28  27  21],376,-1,1
36,g036,100,[ 13   5  25  18   8   7   3 100  72  28  24  20],323,0,1
37,g037,31,[13  8  5 25 31],103,-4,2
38,g038,25,[13 25 20  8  7  5],83,-6,1
39,g039,30,[29  2 25 22 12 10 30  7],168,-4,2
40,g040,17,[15 17 11  4  3  7],71,-4,3
41,g041,34,[17 23  7  3 34 24  1],143,-5,4
42,g042,47,[25  3 10  9  6  2  1 47 14],134,-4,2
43,g043,24,[20 24  7  3 14],71,-3,3
44,g044,15,[15  9  5  4  3],54,-4,2
45,g045,70,[27  6  5 23  7  4  3 70 10  2],232,-4,7
46,g046,15,[15 12  7  4  2  1  3],44,-5,1
47,g047,24,[16 24  7  1],65,-4,1
48,g048,25,[11  4 25  2  1],47,-4,1
49,g049,80,[11  4 20 16  6  5 80 63 18  1],229,-3,8
50,g050,30,[30  7  3 20 13  5  1  2],91,-4,1
51,g051,68,[18 20 15  6  3 68 33 16  7],192,-4,1
52,g052,81,[19 20  6 81],207,-3,8
53,g053,35,[15  5 22 14  4 35  1],107,-4,2
54,g054,41,[15  5 22 16  8  3 41 12],139,-3,5
55,g055,28,[28  8  4 22 16  7  5 27 21 11  9  1],163,-2,3
56,g056,44,[44 15  9  6 21 14  7  4  3 16 11],150,-1,1
57,g057,100,[100  64  53  24  21  18   8   6   4   3],319,-2,1
58,g058,100,[100  21  15   8   4   3  28   9],188,-1,1
59,g059,20,[ 6  4  1 20 16  8  5  3],74,-3,4
60,g060,20,[ 4 20 18 11  6  1],81,-2,3
61,g061,24,[ 4 10  7  3  2 24],56,-3,5
62,g062,21,[ 8 21 15  6  5  4],59,-4,1
63,g063,42,[42 11  6  1 21 15  5  4 35],148,-3,8
64,g064,34,[11 21 16  6  4 34  7  3],112,-3,1
65,g065,41,[11  7 21  4 41  2],125,-2,1
66,g066,68,[21  8 20 15  7  5  3 68 27  1],200,-1,1
67,g067,100,[  8  20  15   7   4 100  48   2],208,0,1
68,g068,21,[ 8  5  4  1 20 16  6 21],92,-4,1
69,g069,32,[11 19 16  7  5  4 32],94,-3,2
70,g070,62,[15  5 19  6  4 62 16 12],159,-4,1
71,g071,64,[55  9  7  4  3 19 15  8  5  2 64 14],205,-3,4
72,g072,42,[ 7  6  4  2 21 13  5 42 40 25 15],188,-2,3
73,g073,31,[15 21 20  9  8  3 31],107,-4,2
74,g074,57,[17  1 16 10  4  2 57 18],139,-4,2
75,g075,8,[8 5 3 2 4],24,-5,1
76,g076,40,[18 22 16  9  4  3 40  1],113,-4,2
77,g077,22,[17  6 22 16  5  8  4  1],94,-4,3
78,g078,52,[52 12  6  1 22 16  5 21],146,-4,2
79,g079,41,[ 5  4  3  1 22 41 14],97,-4,2
80,g080,22,[12 22 13  7  4  2],62,-5,1
81,g081,36,[12  3  2 22 20 14  4 36  1],116,-4,2
82,g082,16,[ 7  5  3  2 16 14  6  1 12],86,-3,4
83,g083,30,[16 21 11  6  3  2 30 20],113,-3,2
84,g084,21,[17  6  5 21 15  3 20],99,-3,3
85,g085,49,[49 12  4  1 21 18 10  6  2 19  8],162,-3,3
86,g086,33,[ 6  4  2 21  5 33 20  9],108,-3,2
87,g087,21,[11 21 14  7  4  3  9],69,-3,2
88,g088,56,[17  7  1 21 11  6 56],153,-3,3
89,g089,44,[ 8  6 16  7  3  1 44  5],99,-2,3
90,g090,16,[16  5  2  4],27,-3,3
91,g091,100,[ 16   8   3 100  28   2  37   6],300,-3,4
92,g092,100,[ 52   8   4   2 100  50  49   1  31],397,-3,2
93,g093,100,[100  45  29  12   3   1  30],584,-2,2
94,g094,100,[  8   3 100  56  44  24   5],340,-1,1
95,g095,100,[ 58  26   8   3 100  29   1   6],334,-2,1
96,g096,100,[ 51  15   4 100  61  39  20   5],399,-2,2
97,g097,100,[ 10   8 100  29   3  23  11   4],288,-1,1
98,g098,100,[ 56  20   7   1 100  52  48  11],396,-3,3
99,g099,50,[50 32  5 14 11  9  2 47],219,-3,2
100,g100,38,[12  7  2 38],59,-2,2
101,g101,100,[ 23   9   6 100  57   7   2  47   8],359,-3,1
102,g102,100,[ 35  13   8 100  53  47  57  16  10],439,-2,1
103,g103,100,[ 42  25   6 100  57   7   2  76  24  18   1],458,-1,1
104,g104,100,[ 41  17   3   1 100  63  37  39  15],516,0,1
105,g105,100,[ 51  32   5 100  57   7   3  21],376,-2,3
106,g106,100,[ 32  23  18   8 100  51  49  37  35  14   3],488,-2,3
107,g107,100,[ 19 100  57   7  15   6   5],309,-2,2
108,g108,100,[ 48  15  13 100  51  49   6   1],396,-2,2
109,g109,49,[49 20 10 16 11  5  4  2  9  1],143,-1,1
