,logic_gate,max,unique,sum,Deep,Fanouts
0,g0000,100,[100  33],233,0,1
1,g0001,100,[100  58  29   9],296,-1,3
2,g0002,98,[98 21 17],157,-1,1
3,g0003,100,[100   2],102,0,1
4,g0004,100,[100  53  19   7],279,-3,6
5,g0005,93,[93 26 20 16],155,-3,1
6,g0006,100,[100   7],107,-2,2
7,g0007,100,[100  98  65  33],296,-1,2
8,g0008,100,[100  26],126,-1,2
9,g0009,100,[100  82  49  31   2],264,0,1
10,g0010,100,[100  53  26   5],284,-5,8
11,g0011,93,[93 20 17],147,-5,3
12,g0012,100,[100   7],107,-4,3
13,g0013,100,[100  47  40   4   3],194,-3,2
14,g0014,100,[100  22],222,-3,3
15,g0015,100,[100  66  42  14  10],232,-2,2
16,g0016,69,[69],69,-3,1
17,g0017,100,[100  65   2],167,-2,2
18,g0018,100,[100  98  50  46   2],296,-1,2
19,g0019,100,[100  25],125,-1,2
20,g0020,100,[100  87  39  35  13],274,0,1
21,g0021,100,[100  49  24  10],283,-7,8
22,g0022,89,[89 20 18 15],142,-7,3
23,g0023,100,[100  11],111,-6,3
24,g0024,100,[100  48  41   4   3],196,-5,3
25,g0025,100,[100  24],224,-5,3
26,g0026,100,[100  66  44  11],232,-4,2
27,g0027,66,[66  3],69,-5,3
28,g0028,3,[3 1],4,-6,1
29,g0029,35,[35  2],74,-6,1
30,g0030,47,[47 10  1],58,-5,3
31,g0031,100,[100  53],153,-4,2
32,g0032,100,[100  52  39   7   6],204,-3,2
33,g0033,100,[100  25],225,-3,3
34,g0034,100,[100  64  38  16  10],228,-2,2
35,g0035,65,[65 13],78,-3,1
36,g0036,100,[100  50   1],151,-2,2
37,g0037,100,[100  92  44  41   7],284,-1,2
38,g0038,100,[100  26],226,-2,1
39,g0039,100,[100],100,-1,2
40,g0040,100,[100  87  42  36   9],274,0,1
41,g0041,100,[100  51  26  11],288,-9,8
42,g0042,91,[91 19 15 11],136,-9,3
43,g0043,100,[100   9],109,-8,3
44,g0044,100,[100  52  41   7   4],204,-7,3
45,g0045,100,[100  17],217,-7,3
46,g0046,100,[100  67  38  15  14],234,-6,2
47,g0047,66,[66  2],68,-7,3
48,g0048,4,[4 2 1],7,-8,4
49,g0049,36,[36  1],74,-8,4
50,g0050,48,[48 11  2],61,-7,4
51,g0051,100,[100  52],152,-6,2
