,logic_gate,max,unique,sum,Deep,Fanouts
0,g000,26,[ 8 26 23  9  7],80,-4,1
1,g001,26,[ 8  3 26 20  9  6  5],77,-4,1
2,g002,26,[19 26 23 11  8  4],91,-3,2
3,g003,26,[17 26  8],51,-4,1
4,g004,24,[ 7  4  2 24 19  8  6  5],77,-6,1
5,g005,24,[13  3 24 19  8  6  5],78,-6,1
6,g006,29,[29 24 18  7  6  5],89,-5,2
7,g007,30,[30 20 12  5  4  3],74,-6,1
8,g008,20,[15  4  2 20 12  5  3],65,-6,1
9,g009,20,[ 6 20 16  8  5  3],58,-5,2
10,g010,26,[19 13 26 15  8  4  3],88,-4,1
11,g011,26,[ 8 26 25 18  6  1],84,-3,2
12,g012,14,[14  3 12 10  5  2],49,-2,7
13,g013,15,[ 7 15 12  2  1],52,-3,5
14,g014,22,[ 6 22 17  7  4],62,-4,1
15,g015,22,[10  3  1 22 16  8  5],69,-4,1
16,g016,48,[48 29 27  5 22 18  7  4],167,-3,2
17,g017,100,[100   8  22   6],236,-4,1
18,g018,100,[100  20  15   5],150,-6,1
19,g019,20,[ 7 20 17  9  6  2],61,-6,1
20,g020,20,[ 5  2  1 20 16  6  4],66,-5,2
21,g021,22,[12  7  4  2 22 18 11  6  1],83,-4,1
22,g022,24,[24  3 22 21 16  4  1],91,-3,2
23,g023,17,[17  6  9  2  1],50,-4,3
24,g024,21,[17 11 21 16  6  4],92,-4,1
25,g025,21,[15 21 17  8  5  4],70,-4,1
26,g026,21,[15 21 18  7  6  5],72,-3,2
27,g027,21,[12  6 21  3],42,-4,1
28,g028,24,[ 8  6  5  1 24 17  7  4],78,-6,1
29,g029,24,[13 24 19 11  5  3],75,-6,1
30,g030,24,[13 24 15  6  5  4],67,-5,2
31,g031,39,[39 14  9  4  2 21 12  6],113,-4,1
32,g032,21,[18  8 21 20 12  5  3],87,-3,2
33,g033,18,[18 10  8  9  7  1],82,-3,4
34,g034,25,[18 25  9  6  3],79,-4,1
35,g035,29,[29  3 25 19  8  6  5],124,-4,1
36,g036,25,[13  5 25 18  8  7  3],79,-3,2
37,g037,25,[13  8  5 25],72,-4,1
38,g038,25,[13 25 20  8  7  5],78,-4,1
39,g039,29,[29  2 25 22 12 10],129,-3,2
40,g040,17,[15 17 11  4  3],54,-2,7
41,g041,23,[17 23  7  3],50,-3,1
42,g042,25,[25  3 10  9  6  2  1],59,-3,5
43,g043,24,[20 24  7  3],57,-3,1
44,g044,15,[15  9  5  4],48,-2,14
45,g045,27,[27  6  5 23  7  4  3],75,-3,1
46,g046,15,[15 12  7  4  2  1],41,-2,7
47,g047,24,[16 24  7],63,-3,1
48,g048,25,[11  4 25  2  1],44,-2,16
49,g049,20,[11  4 20 16  6  5],67,-4,1
50,g050,30,[30  7  3 20 13  5  1],86,-4,1
51,g051,20,[18 20 15  6  3],68,-3,2
52,g052,20,[19 20  6],45,-4,1
53,g053,22,[15  5 22 14  4],70,-6,1
54,g054,22,[15  5 22 16  8  3],74,-6,1
55,g055,28,[28  8  4 22 16  7  5],94,-5,2
56,g056,44,[44 15  9  6 21 14  7  4  3],123,-6,1
57,g057,100,[100  64  53  24  21  18   8   6   4],298,-6,1
58,g058,100,[100  21  15   8   4   3],151,-5,2
59,g059,20,[ 6  4  1 20 16  8  5  3],70,-4,1
60,g060,20,[ 4 20 18 11  6  1],60,-3,2
61,g061,10,[ 4 10  7  3  2],32,-3,5
62,g062,21,[ 8 21 15  6  5  4],59,-4,1
63,g063,42,[42 11  6  1 21 15  5  4],111,-4,1
64,g064,21,[11 21 16  6  4],64,-3,2
65,g065,21,[11  7 21  4],50,-4,1
66,g066,21,[21  8 20 15  7  5  3],100,-6,1
67,g067,20,[ 8 20 15  7  4],58,-6,1
68,g068,20,[ 8  5  4  1 20 16  6],70,-5,2
69,g069,19,[11 19 16  7  5  4],62,-6,1
70,g070,19,[15  5 19  6  4],69,-6,1
71,g071,55,[55  9  7  4  3 19 15  8  5  2],127,-5,2
72,g072,21,[ 7  6  4  2 21 13  5],66,-4,1
73,g073,21,[15 21 20  9  8  3],76,-3,2
74,g074,17,[17  1 16 10  4  2],54,-2,7
75,g075,8,[8 5 3 2 4],22,-2,4
76,g076,22,[18 22 16  9  4  3],72,-4,1
77,g077,22,[17  6 22 16  5],77,-4,1
78,g078,52,[52 12  6  1 22 16  5],125,-3,2
79,g079,22,[ 5  4  3  1 22],39,-4,1
80,g080,22,[12 22 13  7  4  2],60,-4,1
81,g081,22,[12  3  2 22 20 14  4],79,-3,2
82,g082,16,[ 7  5  3  2 16 14  6  1],61,-2,14
83,g083,21,[16 21 11  6  3  2],59,-4,1
84,g084,21,[17  6  5 21 15  3],79,-4,1
85,g085,49,[49 12  4  1 21 18 10  6  2],123,-3,2
86,g086,21,[ 6  4  2 21  5],44,-4,1
87,g087,21,[11 21 14  7  4  3],60,-4,1
88,g088,21,[17  7  1 21 11  6],80,-3,2
89,g089,16,[ 8  6 16  7  3  1],50,-3,4
90,g090,16,[16  5  2],23,-2,8
91,g091,100,[ 16   8   3 100  28   2],257,-1,1
92,g092,100,[ 52   8   4   2 100  50  49   1],366,0,1
93,g093,100,[100  45  29  12   3   1],519,-1,1
94,g094,100,[  8   3 100  56  44],311,0,1
95,g095,100,[ 58  26   8   3 100  29   1],328,-1,1
96,g096,100,[ 51  15   4 100  61  39],374,0,1
97,g097,100,[ 10   8 100  29   3],250,-1,1
98,g098,100,[ 56  20   7   1 100  52  48],385,0,1
99,g099,50,[50 32  5 14 11  9  2],123,-2,7
100,g100,12,[12  7  2],21,-2,4
101,g101,100,[ 23   9   6 100  57   7   2],304,-1,1
102,g102,100,[ 35  13   8 100  53  47],356,0,1
103,g103,100,[ 42  25   6 100  57   7   2],339,-1,1
104,g104,100,[ 41  17   3   1 100  63  37],362,0,1
105,g105,100,[ 51  32   5 100  57   7   3],355,-1,1
106,g106,100,[ 32  23  18   8 100  51  49],381,0,1
107,g107,100,[ 19 100  57   7],283,-1,1
108,g108,100,[ 48  15  13 100  51  49],376,0,1
109,g109,49,[49 20 10 16 11  5  4  2],117,-2,7
110,g110,69,[69 35  9 12  8  3  2],141,-3,5
111,g111,59,[59 21  6  2  4  3],95,-2,4
112,g112,100,[  7   5 100  21   4   1],238,-1,1
113,g113,100,[  6   5 100  50],311,0,1
114,g114,100,[  6   4 100  21   1],236,-1,1
115,g115,100,[  6   2 100  52  48],308,0,1
116,g116,100,[ 16 100  21   4],241,-1,1
117,g117,100,[ 26  13   6 100  53  47],345,0,1
118,g118,100,[ 46  20  13   6   3 100  21   4   2],315,-1,1
119,g119,100,[ 37  30  19  11 100  55  45],397,0,1
120,g120,100,[100  37   5   3   7   1],154,-2,4
121,g121,100,[ 27  11   9   3 100  57   7   2],316,-1,1
122,g122,100,[ 51 100  53  47],351,0,1
123,g123,100,[ 65  37  11 100  57   7   2],379,-1,1
124,g124,100,[ 48 100  52],348,0,1
125,g125,100,[ 58  41   5 100  56   6   2],368,-1,1
126,g126,100,[ 84  46   9   6   4 100  53   1],449,0,1
127,g127,100,[ 59 100  57   7],323,-1,1
128,g128,100,[ 84  47   8 100  51  49],439,0,1
129,g129,100,[100  33  26  10   5],174,-2,4
130,g130,84,[84  2 12],104,-2,8
131,g131,63,[63  2 11  7  3  1],90,-4,3
132,g132,100,[100  36  20  10  23   4   1],194,-3,1
133,g133,24,[15 11  3  2  1 24  4],66,-3,1
134,g134,68,[68 43 33 25 17  6  2],227,-3,1
135,g135,76,[76 43 14 21  4  3],161,-3,1
136,g136,100,[100  22   8  30   5   2],167,-2,16
137,g137,100,[100  49  18   6],273,-1,1
138,g138,100,[100  56  44],300,0,1
139,g139,100,[100  47  13   7],267,-1,1
140,g140,100,[100  56  43   1],300,0,1
141,g141,100,[100  52  14   6],272,-1,1
142,g142,100,[100  53  47],300,0,1
143,g143,100,[100  56  18   9],283,-1,1
144,g144,100,[100  51  48   1],300,0,1
145,g145,15,[15  1],16,-2,4
146,g146,100,[100  48   3   1],252,-1,1
147,g147,100,[100  99  59  40],298,0,1
148,g148,100,[100  47   4   2],253,-1,1
149,g149,100,[100  53  46   1],300,0,1
150,g150,100,[100  52   5   2],259,-1,1
151,g151,100,[100  57  43],300,0,1
152,g152,100,[100  54   5   3],262,-1,1
153,g153,100,[100  99  54  43   2],298,0,1
154,g154,5,[5 3],8,-2,4
155,g155,100,[100  49  18   3],270,-1,1
156,g156,100,[100  54  46],300,0,1
157,g157,100,[100  48  14   2],264,-1,1
158,g158,100,[100  54  46],300,0,1
159,g159,100,[100  52  14   3],269,-1,1
160,g160,100,[100  50],300,0,1
161,g161,100,[100  57  19   2],278,-1,1
162,g162,100,[100  56  44],300,0,1
163,g163,15,[15  7  4],26,-2,4
164,g164,100,[100  47   7   3],257,-1,1
165,g165,100,[100  99  50  48   1],298,0,1
166,g166,100,[100  48   4   1],253,-1,1
167,g167,100,[100  53  47],300,0,1
168,g168,100,[100  52   6   4],262,-1,1
169,g169,100,[100  57  43],300,0,1
170,g170,100,[100  57   5   3],265,-1,1
171,g171,100,[100  59  41],300,0,1
