,logic_gate,max,unique,sum,Deep,Fanouts
0,g0000,100,[100  33],333,0,1
1,g0001,100,[100  58  29   9  21],517,0,1
2,g0002,100,[ 98  21  17 100  42  22   9],330,0,2
3,g0003,100,[100   2  44  15   5],266,0,2
4,g0004,100,[100  53  19   7  46  14   5],444,0,2
5,g0005,100,[ 93  26  20  16 100  49  22  11],337,0,2
6,g0006,100,[100   7  63],170,-1,4
7,g0007,100,[100  98  65  33  30],426,0,1
8,g0008,100,[100  26  35  11],272,0,1
9,g0009,100,[100  82  49  31   2  17],481,0,1
10,g0010,100,[100  53  26   5  86],370,-3,28
11,g0011,100,[ 93  20  17 100  25],272,-2,1
12,g0012,100,[100   7  50],157,-3,3
13,g0013,100,[100  47  40   4   3  26],320,-2,1
14,g0014,100,[100  22  86  68  10   8],494,-1,11
15,g0015,100,[100  66  42  14  10  63  39  12],458,0,1
16,g0016,100,[ 69 100],169,-2,10
17,g0017,100,[100  65   2  28],395,-2,2
18,g0018,100,[100  98  50  46   2  64  44  12   8],524,-2,4
19,g0019,100,[100  25  30],355,-2,4
20,g0020,100,[100  87  39  35  13  61  43   5],496,-1,3
21,g0021,100,[100  49  24  10  31   3],317,-2,3
22,g0022,100,[ 89  20  18  15 100],242,-2,3
23,g0023,100,[100  11  39],150,-3,1
24,g0024,100,[100  48  41   4   3  29  20  17],362,-2,3
25,g0025,100,[100  24  77  34  19],478,-1,10
26,g0026,100,[100  66  44  11],332,-2,3
27,g0027,66,[66  3 39],108,-3,3
28,g0028,100,[  3   1 100  26  20  17],167,-2,2
29,g0029,100,[ 35   2 100  77  36  22  19],328,-1,9
30,g0030,47,[47 10  1 23  6],87,-4,2
31,g0031,100,[100  53  90  32],275,-3,25
32,g0032,100,[100  52  39   7   6  25  19],348,-2,3
33,g0033,100,[100  25  75  30  27  18],475,-1,6
34,g0034,100,[100  64  38  16  10  22],250,-4,3
35,g0035,65,[65 13 39],117,-3,1
36,g0036,100,[100  50   1  28  19  16],314,-2,3
37,g0037,100,[100  92  44  41   7  46  30  15   8],390,-4,4
38,g0038,100,[100  26  39],265,-3,2
39,g0039,100,[100  29  20  14],263,-2,3
40,g0040,100,[100  87  42  36   9  77  32  26  19],528,-1,6
41,g0041,100,[100  51  26  11  15  10   3   1],332,-3,3
42,g0042,91,[91 19 15 11],166,-2,3
43,g0043,100,[100   9],209,-4,2
44,g0044,100,[100  52  41   7   4  39],243,-5,2
45,g0045,100,[100  17  28  20  19],384,-4,2
46,g0046,100,[100  67  38  15  14  81  34  24  23],496,-3,3
47,g0047,100,[ 66   2 100],168,-2,6
48,g0048,39,[ 4  2  1 39],46,-4,2
49,g0049,100,[ 36   1 100  28  22  19],243,-3,3
50,g0050,100,[ 48  11   2 100  82  32  28  22],325,-2,3
51,g0051,100,[100  52  39],191,-4,2
52,g0052,100,[100  53  39   8   6  23  16],361,-3,2
53,g0053,100,[100  27  79  35  25  19],485,-2,7
54,g0054,100,[100  66  42  13  11],332,-4,2
55,g0055,64,[64  7 39],110,-4,2
56,g0056,100,[  4 100  27  18  16],169,-4,2
57,g0057,100,[ 15 100  75  31  25  19],265,-3,5
58,g0058,100,[  6   2 100],108,-2,6
59,g0059,19,[ 4  2 19  5  1],40,-3,4
60,g0060,100,[  6   3   1 100],110,-2,3
61,g0061,39,[32 24  1 39],96,-3,1
62,g0062,100,[ 34  24  18 100  26  20  16],238,-2,2
63,g0063,100,[ 52  10   4 100  82  28  26],330,-1,6
64,g0064,100,[100  48  21],169,-4,3
65,g0065,100,[100  54  38   9   7],308,-3,2
66,g0066,100,[100  16  52  29  27  23  21],568,-3,3
67,g0067,100,[100  74  42  19  13  78  36  22  20],504,-2,8
68,g0068,100,[ 58   7 100],165,-2,4
69,g0069,100,[100  41   3  51  29  28  22  21],495,-2,4
70,g0070,100,[100  92  52  31   9  84  36  27  21],552,-1,7
71,g0071,100,[100  26  21   5],252,-4,2
72,g0072,100,[100],200,-2,4
73,g0073,100,[100  90  50  28  12  48  27  25  23],628,-2,5
74,g0074,100,[100  53  20  13  82  35  30  17],550,-1,10
75,g0075,93,[93 24 21 15  1],154,-4,1
76,g0076,100,[100   7],207,-3,3
77,g0077,100,[100  46  37   5   4  55  29  26  24  21],547,-3,3
78,g0078,100,[100  21  79  32  24  23],479,-2,4
79,g0079,100,[100  70  45  13  12],340,-1,10
80,g0080,67,[67  4 20  8  1],100,-3,6
81,g0081,12,[12  6  3],21,-2,2
82,g0082,100,[ 42   3 100],190,-3,3
83,g0083,100,[ 52  15   3 100  48  27  25  23],418,-3,3
84,g0084,100,[100  48  69  25  23  21],386,-2,6
85,g0085,100,[100  54  35  11   8],308,-2,4
86,g0086,100,[100  19  45  31  26  24],564,-2,4
87,g0087,100,[100  67  35  19  13  81  24  22],496,-1,6
88,g0088,100,[ 66   8 100],174,-3,3
89,g0089,100,[  4 100  50  26  24],358,-3,3
90,g0090,100,[ 20   3 100  79  28  27  24],281,-2,8
91,g0091,100,[  9   3 100],112,-4,3
92,g0092,100,[  8   3   1 100  65  33  32  18  17],385,-4,3
93,g0093,100,[ 10   3   2   1 100  80  31  29  20],276,-3,7
94,g0094,33,[33 23  1 21  9  6  2],95,-3,2
95,g0095,100,[ 38  23  16   2 100],179,-2,3
96,g0096,100,[ 53  11   3 100  54  28  26  24  22],421,-2,3
97,g0097,100,[100  47  74  28  26  20],395,-1,10
98,g0098,100,[100  61  42  10   9],322,-2,4
99,g0099,100,[100  24  53  27  26  23],577,-2,4
100,g0100,100,[100  61  37  12  77  28  26  23],476,-1,10
101,g0101,74,[74 13 34  6],161,-3,2
102,g0102,100,[  1 100],101,-3,2
103,g0103,100,[ 16 100  49  26  25  24],365,-3,3
104,g0104,100,[ 10   6 100  74  33  25  16],264,-2,5
105,g0105,100,[  9   6   2 100],126,-2,4
106,g0106,100,[  6   1 100  59  32  27  23  18],366,-2,5
107,g0107,100,[ 25  19   1 100  76  31  26],297,-1,10
108,g0108,100,[ 30  19  13 100],162,-3,2
109,g0109,100,[ 54  19   1 100  52  27  25  23],426,-3,3
110,g0110,100,[100  46  70  24  22],386,-2,6
111,g0111,100,[100  63  35  16  12  28  15   9   2],280,-2,4
112,g0112,100,[100  22  24],270,-2,4
113,g0113,100,[100  68  42  15  11],336,-3,3
114,g0114,100,[ 72   8 100  57  31  26  24  19],437,-3,3
115,g0115,100,[100  52   5  80  35  25  20],417,-2,9
116,g0116,100,[100  92  45  35  12],384,-4,3
117,g0117,100,[100  18  47  28  25  22],565,-4,3
118,g0118,100,[100  70  27  26  17],340,-3,10
119,g0119,100,[100  87  40   7],374,-3,3
120,g0120,100,[100  55  23   4  48  27  25],630,-3,3
121,g0121,95,[95 24 20 14 74  7],308,-3,3
122,g0122,100,[100   5  30],135,-4,2
123,g0123,100,[100  46  39   4   3  60  14   1],267,-4,1
124,g0124,100,[100  18],318,-2,4
125,g0125,100,[100  72  44  14  50  26  24],594,-2,4
126,g0126,70,[70  1 60  8],199,-2,5
127,g0127,18,[18 13  4],53,-4,2
128,g0128,100,[ 43   2   1 100  75  29  23],339,-2,11
129,g0129,57,[45 11  4 57 12  3  1],133,-4,1
130,g0130,100,[100  54  72  18],244,-5,1
131,g0131,100,[100  51  35   9   7  76  10],288,-4,2
132,g0132,100,[100  25  82  20  11],338,-4,1
133,g0133,100,[100  70  44  14  12  95  13   8],356,-3,4
134,g0134,100,[ 67   7 100  76  30  28  18],326,-1,7
135,g0135,23,[11 23  8  2],80,-3,3
136,g0136,100,[ 30   7 100],137,-2,3
137,g0137,100,[ 13   5 100  56  29  27  23  21],374,-2,3
138,g0138,100,[ 14   5   1 100  72  28  24  20],278,-1,12
139,g0139,100,[ 20   9   5   4   1 100],139,-2,4
140,g0140,100,[ 36  23   2 100  42  32  26  24  18],403,-2,4
141,g0141,100,[ 43  23  13   9   2 100  73  29  24  20],336,-1,12
142,g0142,54,[54 13  5 27 10],136,-3,3
143,g0143,100,[100  46],246,-2,3
144,g0144,100,[100  53  32  11  10  51  26  25  24],557,-2,3
145,g0145,100,[100  25  78  32  27  19],481,-1,8
146,g0146,100,[100  71  48  14   9],342,-2,2
147,g0147,100,[ 61   7 100  50  26  24],418,-2,3
148,g0148,100,[  7   2 100  74  30  22],259,-1,11
149,g0149,52,[34 52 27 21 20  6  5],217,-3,3
150,g0150,61,[17  8  1 61 15  6],108,-2,6
151,g0151,44,[18  8  1 44 21 12  6],128,-2,3
152,g0152,61,[17  3  2  1 61],85,-3,2
153,g0153,63,[39 24  5 63 26  8],165,-3,2
154,g0154,80,[49 24 20  3  1 80 11],188,-3,4
155,g0155,61,[61 12  4 49 21  8],167,-4,1
156,g0156,100,[100  39  74  16],229,-3,2
157,g0157,100,[100  53  31  15   7  54   5],265,-4,1
158,g0158,100,[100  27  91  15   9   5],347,-3,1
159,g0159,100,[100  67  46  13   8  96  47   2],379,-2,3
160,g0160,68,[68  8 63],139,-3,3
161,g0161,5,[5 1],7,-2,3
162,g0162,37,[21 37],58,-1,2
163,g0163,71,[17  8  1 71 14],182,-3,3
164,g0164,35,[14  8  1 35],72,-4,2
165,g0165,56,[13  4  1 56  8  2],140,-5,1
166,g0166,60,[27 24  3 60],114,-2,3
167,g0167,35,[35 24 16],91,-3,4
168,g0168,100,[ 63  15   5 100],183,-2,4
169,g0169,100,[100  37  64  20],285,-2,6
170,g0170,100,[100  64  33  23   8  53  22  10   5],318,-5,1
171,g0171,100,[100  15  74  10],373,-6,1
172,g0172,100,[100  59  36  15   8  73  10],374,-3,3
173,g0173,86,[60  6 86 25 11],188,-5,1
174,g0174,100,[100  45   1  97  11   7],261,-4,1
175,g0175,100,[100  93  43  42   8],386,-1,4
176,g0176,100,[100  30],330,-1,8
177,g0177,100,[100  28   5],133,-3,4
178,g0178,100,[100  86  41  36   9  75  12],434,-3,5
179,g0179,100,[100  54  19   3  60  18  11   4],369,-3,1
180,g0180,94,[94 26 21 18 64 25 12  3],263,-3,1
181,g0181,100,[100   6  82  12],200,-3,5
182,g0182,100,[100  40  35   3   2  62  29  16   7],356,-3,1
183,g0183,100,[100  21  75  16],387,-4,1
184,g0184,100,[100  73  48  14  11  81  13],421,-3,2
185,g0185,91,[72  1 91 16  7],187,-3,1
186,g0186,100,[ 19  13   3 100  38  33  32],238,-2,5
187,g0187,100,[ 48   4   3 100  18],269,-3,3
188,g0188,46,[46 14  2 43 23],128,-2,2
189,g0189,100,[100  54  37],191,-1,2
190,g0190,100,[100  47  29  12   6  79  28   3],304,-1,4
191,g0191,100,[100  23],323,-2,3
192,g0192,100,[100  73  45  20   8  81  30  27  24],508,-1,9
193,g0193,70,[70  9  2],81,-4,1
194,g0194,67,[11  1 67 22 12  7  5],136,-3,5
195,g0195,49,[35  6 49 10  3  1],153,-3,1
196,g0196,65,[15  5  1 65],86,-4,2
197,g0197,63,[14  5 63 47 21 20  6],190,-3,7
198,g0198,73,[24 14  9  5 73 20 10  8],163,-4,4
199,g0199,55,[40 21  1 55  5  3],125,-3,1
200,g0200,82,[47 21 18 14  3 82 26  8],233,-3,4
201,g0201,51,[50 13  4 51 25 12  3],158,-5,1
202,g0202,100,[100  49  72   3],224,-5,1
203,g0203,100,[100  58  37  11  10  73  18   3],338,-3,2
204,g0204,100,[100  20  90  29  25  17],381,-4,1
205,g0205,100,[100  65  37  15  13  90],320,-3,1
206,g0206,100,[ 71   9 100  10   2],192,-2,4
207,g0207,83,[12  5  3  2 83],105,-2,2
208,g0208,100,[ 29 100  42  10],181,-1,2
209,g0209,13,[13  3  2  6],30,-4,1
210,g0210,27,[14  3  1 27  8  4  2],73,-3,5
211,g0211,49,[26 13  8  5  1 49  4],106,-3,3
212,g0212,43,[36 22  3 43],104,-2,2
213,g0213,77,[45 22 16 13  3 77 21 15  9  5],226,-3,3
214,g0214,55,[52 13  6 55  5  1],132,-4,1
215,g0215,100,[100  47  53  22   8   6   5],241,-3,3
216,g0216,100,[100  60  36  14  10  47  17   5   1],290,-4,1
217,g0217,100,[100  18  67  20  11   9   4],329,-5,1
218,g0218,100,[100  68  38  16  14  22  13   9   7],355,-3,3
219,g0219,81,[67  7 81 24  2],181,-4,1
220,g0220,97,[14  2  1 97 16 12],239,-3,1
221,g0221,64,[31 64  9],168,-3,2
222,g0222,52,[13  5  1 52  4],127,-4,1
223,g0223,33,[16  5 33 11  1],82,-5,1
224,g0224,67,[24  7  5  4 67 20  9],148,-5,1
225,g0225,79,[31 21  6 79 28  5],170,-4,1
226,g0226,38,[38 21 13  7  2 28 11],120,-2,5
227,g0227,78,[53 13  9 78],244,-2,6
228,g0228,100,[100  47  41   5   2   1],237,-4,1
229,g0229,100,[100  56  36  12   8  76],296,-3,4
230,g0230,100,[100  21  44   8   4],298,-4,1
231,g0231,100,[100  66  49  10   7  99  58  18   5],412,-3,4
232,g0232,100,[ 59   5 100  54  16],234,-2,2
233,g0233,37,[13  3 37 15],68,-1,2
234,g0234,100,[ 24 100],124,0,1
235,g0235,26,[13  5  3 26],47,-3,2
236,g0236,36,[12  5  1 36 10],76,-2,2
237,g0237,31,[17  7  3 31 24  5  2],120,-3,2
238,g0238,31,[28 23  6 31  9],97,-2,2
239,g0239,32,[32 23 16 27 24  2  1],152,-3,2
240,g0240,64,[64 15 13  5],97,-6,1
241,g0241,100,[100  36  19  18   9   5   4],209,-5,3
242,g0242,100,[100  54  31  13  10  37   5   4],254,-5,3
243,g0243,100,[100  27  20  15   4   1],287,-4,5
244,g0244,100,[100  70  44  14  12   2],242,-3,1
245,g0245,59,[59  7 11  5  4  3  1],104,-4,3
246,g0246,100,[100  43   3   2],152,-3,1
247,g0247,100,[100  95  47  37  11  15  13   6   4   3   2],348,-5,3
248,g0248,100,[100  21  27   5   4],257,-5,2
249,g0249,100,[100  12   8   7   1],128,-4,4
250,g0250,100,[100  89  41  34  14  10   8   4   1],330,-5,3
251,g0251,100,[100  55  21   7  23   5   4],315,-5,2
252,g0252,95,[95 27 19 18  7  5],176,-4,3
