,logic_gate,max,unique,sum,Deep,Fanouts
0,g000,100,[  8  26  23   9   7 100  36  18  16  15   4  35   1],731,0,1
1,g001,100,[  8   3  26  20   9   6   5 100  39  16  10   2  11  86],557,0,1
2,g002,100,[ 19  26  23  11   8   4 100  44  17  16  10   5   3   2  61],649,0,2
3,g003,100,[ 17  26   8 100  29  16   4  88  64  23  18  49  27],792,0,1
4,g004,100,"[  7   4   2  24  19   8   6   5 100  45  18  15  13   3  82  62  21  17
  34]",840,0,1
5,g005,100,"[ 13   3  24  19   8   6   5 100  46   7  15  11   4   2  82  61  27  20
  14]",791,0,1
6,g006,100,"[ 29  24  18   7   6   5  87  15  11   3   2  82  57  22  21  14  53  20
  10 100]",645,0,1
7,g007,100,[ 30  20  12   5   4   3 100   1  15   6  82  65  25  21  19  90  22],838,0,1
8,g008,100,[ 15   4   2  20  12   5   3 100  40  14  77],535,0,1
9,g009,100,[  6  20  16   8   5   3 100  40  11  15  28  41  13],433,0,1
10,g010,100,[ 19  13  26  15   8   4   3 100  35  16  14   6   5  45  67],495,0,1
11,g011,100,[  8  26  25  18   6   1  83  19  16  14   9   4  82  43  39 100],586,0,1
12,g012,100,[ 14   3  12  10   5   2 100  33   7  82  48  34   8   6   9  30],723,0,1
13,g013,100,[  7  15  12   2   1 100   5  10   4   3  82  61  21  19  57],463,-1,1
14,g014,100,[  6  22  17   7   4 100  35  12  20  15  10   3  18   2  30],537,0,1
15,g015,62,[10  3  1 22 16  8  5 33  2 20 12  4 29 31 15 62],355,-1,1
16,g016,100,[ 48  29  27   5  22  18   7   4 100   1  20  13   2  10  61  25],613,0,1
17,g017,100,[100   8  22   6  48  28  15  20   5   4  30],692,0,1
18,g018,100,[100  20  15   5  35  18  13   3   2   1  14  33  12],595,0,1
19,g019,100,"[  7  20  17   9   6   2 100  73  27  19  18  13   5   3  34  15   4   1
  22]",534,0,5
20,g020,100,[  5   2   1  20  16   6   4 100  74  34  18  14  46  19  26   7],615,0,2
21,g021,100,"[ 12   7   4   2  22  18  11   6   1 100  78  32  24  20  17   8   3  82
  16  73  21  34  10]",705,-1,1
22,g022,100,"[ 24   3  22  21  16   4   1 100  76  32  23  20  10   2  82  42  30   7
   5  84  15  11]",813,0,1
23,g023,100,[ 17   6   9   2   1 100  72  27  24  21   4   3  34  16  10   8],546,-1,2
24,g024,100,"[ 17  11  21  16   6   4 100  76  29  25  22  15   8   5   2  91  67  26
  20  18  31]",790,0,1
25,g025,100,[ 15  21  17   8   5   4 100  73  28  24  91  69  26  19  29  14],771,0,1
26,g026,100,[ 15  21  18   7   6   5 100  74  27  25  22  14   2  88  65   4  98],689,-1,4
27,g027,100,[ 12   6  21   3 100  73  27  26  20  88  68  24  23  14   5   2],574,-2,4
28,g028,100,"[  8   6   5   1  24  17   7   4 100  74  34  31   9  18  15  88  69  25
  20  71   2]",820,-2,1
29,g029,100,"[ 13  24  19  11   5   3 100  71  23  18  15   6   4  88  63  21  76  32
  26  52  28]",938,-1,1
30,g030,100,"[ 13  24  15   6   5   4 100  80  32  25  23  18  14  88  66  19  78  29
  20  37]",986,0,1
31,g031,100,"[ 39  14   9   4   2  21  12   6 100  78  33  23  22  16  10  82  60  20
  18  32  31  19   3]",915,-2,1
32,g032,100,"[ 18   8  21  20  12   5   3 100  78  32  26  17  10   4   1  72  29  22
  52  33  30]",769,-1,1
33,g033,100,"[ 18  10   8   9   7   1 100  76  27  25  24  12   5   2   6  71  32  22
  17  33]",746,0,1
34,g034,100,"[ 18  25   9   6   3 100  82  31  27  24  17  15   7   2  79  33  22  11
   8   4]",694,-2,1
35,g035,100,"[ 29   3  25  19   8   6   5 100  76  28  27  21  17  14   4   2  64  18
  52  24]",762,-1,1
36,g036,100,"[ 13   5  25  18   8   7   3 100  72  28  24  20  17  12   4   1  22  73
  29  26  41]",773,0,1
37,g037,100,[ 13   8   5  25  31  17   4   1 100  76  32  23  21   9   2],401,-2,1
38,g038,100,"[ 13  25  20   8   7   5  17   6   2  10   1 100  76  33  23  52  34  31
   3]",515,-1,1
39,g039,100,[ 29   2  25  22  12  10  30   7  17   6   4 100  78  33  27  18  39],624,0,1
40,g040,100,[ 15  17  11   4   3   7   9   5   1 100  70  29  22  19  25],465,-2,12
41,g041,100,[ 17  23   7   3  34  24   1  15   2  82  64  27  20 100  76  25  10],635,-3,1
42,g042,100,[ 25   3  10   9   6   2   1  47  14   7  95 100  73  30  22  21  19  11],532,-2,1
43,g043,82,[20 24  7  3 14  2 82 28 81 26 13],404,-3,2
44,g044,82,[15  9  5  4  3 18  7 82 51 22 16 13 55 23],386,-3,3
45,g045,91,[27  6  5 23  7  4  3 70 10  2 16  1 91 67 25 19 46],603,-2,1
46,g046,91,[15 12  7  4  2  1  3  9  5 91 69 29 22 18 16],332,-2,1
47,g047,91,[16 24  7  1 15 11  2 91 65 25 22 18  8  4],353,-1,2
48,g048,91,[11  4 25  2  1 18 91 70 26 23 21 46 19],366,-2,3
49,g049,91,[11  4 20 16  6  5 80 63 18  1 17  3 91 73 26 21  2 23],530,-2,16
50,g050,30,[30  7  3 20 13  5  1  2 17 15  4  8],176,-2,2
51,g051,68,[18 20 15  6  3 68 33 16  7 17 11  5  4  2  9  1 23 12  8],338,-1,5
52,g052,81,[19 20  6 81 17  7  9  4 60 15 51],370,-2,2
53,g053,35,[15  5 22 14  4 35  1  8  2  7 16 23  9],240,-1,3
