,logic_gate,max,unique,sum,sum-max,Deep,Fanouts
0,g093,400,[400 202 136  50],1188,788,0,10
7,g018,400,[400],400,0,0,5
8,g058,400,[400],400,0,0,3
3,g132,400,[400 160 109  41],710,310,0,1
4,g129,400,[400 141  93  39],673,273,0,1
5,g120,400,[400 135  15],565,165,0,1
6,g136,400,[400  81  45],526,126,0,1
1,g057,400,[400 242 204 101],947,547,-1,19
2,g017,400,[400  33],833,433,-1,19
10,g128,320,[320 191  28],539,219,-1,5
19,g125,226,[226 116  27],369,143,-1,4
17,g123,230,[230 105  33],368,138,-1,3
9,g126,349,[349 177  51  27  19],623,274,-1,2
11,g130,320,[320  11  10   6],347,27,-1,2
21,g071,202,[202  42  18   7   3],272,70,-1,2
27,g092,180,[180  48  22   6],256,76,-1,2
29,g078,175,[175  53  21   7],256,81,-1,2
31,g085,168,[168  46  22   2],238,70,-1,2
12,g135,306,[306 149  60],515,209,-1,1
14,g095,247,[247  99  23   6   1],376,129,-1,1
18,g131,229,[229   6   4],239,10,-1,1
20,g134,225,[225 149 104],582,357,-1,1
37,g106,147,[147 106  70  33],356,209,-1,1
39,g119,136,[136  99  66  23],324,188,-1,1
123,g094,30,[30 10],40,10,-1,1
44,g121,126,[126  40  36  10],212,86,-2,5
51,g006,101,[101],101,0,-2,5
30,g016,173,[173  96  66  21],356,183,-2,3
70,g005,67,[67  6],73,6,-2,3
13,g110,252,[252 120  36],408,156,-2,2
22,g099,196,[196  92  30],318,122,-2,2
24,g108,187,[187  75  37],299,112,-2,2
28,g105,179,[179  83  33],295,116,-2,2
38,g118,137,[137  62  27  12  10],248,111,-2,2
40,g103,131,[131  49  32],212,81,-2,2
46,g039,125,[125   8],258,133,-2,2
48,g035,120,[120  10],250,130,-2,2
54,g076,87,[87],87,0,-2,2
55,g107,78,[78],78,0,-2,2
75,g083,64,[64],64,0,-2,2
80,g090,60,[60],60,0,-2,2
85,g080,54,[54],54,0,-2,2
16,g127,234,[234],234,0,-2,1
23,g056,193,[193  65  43  20],321,128,-2,1
32,g124,158,[158],158,0,-2,1
34,g122,156,[156],156,0,-2,1
35,g063,152,[152  45  22   7],226,74,-2,1
36,g031,148,[148  35  14  13  12],222,74,-2,1
58,g077,76,[76 31  1],108,32,-2,1
59,g091,74,[74 24  1],123,49,-2,1
60,g070,74,[74 21  1],96,22,-2,1
64,g088,70,[70 25  1],96,26,-2,1
69,g081,68,[68 22 20],110,42,-2,1
76,g084,62,[62 20 14  2],98,36,-2,1
77,g066,61,[61 18  1],141,80,-2,1
79,g074,61,[61  2],63,2,-2,1
113,g133,37,[37 15  3  2  1],58,21,-2,1
114,g089,35,[35 31 22  9],97,62,-2,1
115,g097,35,[35 26  1],62,27,-2,1
120,g115,31,[31 22  1],54,23,-2,1
122,g068,30,[30 27 20  7],84,54,-2,1
125,g086,28,[28 25 19  6],78,50,-2,1
126,g075,28,[28 23 18  5],74,46,-2,1
127,g072,28,[28 21 15  6],70,42,-2,1
128,g112,26,[26 16  1],43,17,-2,1
129,g065,25,[25 18 16  2],61,36,-2,1
131,g079,24,[24 21 19  2],66,42,-2,1
132,g082,23,[23 20 13  7],63,40,-2,1
43,g007,130,[130],130,0,-3,4
52,g010,97,[97 43],140,43,-3,4
63,g012,71,[71 29],100,29,-3,4
81,g003,56,[56],56,0,-3,4
95,g021,48,[48 20 19 10],97,49,-3,3
102,g024,44,[44 23 20  3],90,46,-3,3
