Nome do arquivo avaliado: c432 
Quantidade de vetores testados: 10 - 1.4551915228366852e-10 
vector | sensitive_node 
011001111100100100101001110101000110 | ['n43', 'n49', 'n55', 'ZN_neg_g017', 'n60', 'n62', 'n64', 'net_0_g022', 'n65', 'n66', 'n67', 'n70', 'n71', 'n74', 'n77', 'ZN_neg_g035', 'n78', 'n81', 'ZN_neg_g039', 'n82', 'n88', 'n94', 'n100', 'n106', 'n107', 'n108', 'n118', 'n119', 'n127', 'n132', 'ZN_neg_g093', 'net_0_g094', 'n150', 'n151', 'n154', 'n155', 'n157', 'n158', 'net_0_g102', 'n159', 'n161', 'n166', 'n172', 'n173', 'n174', 'n177', 'n179', 'n180', 'n181', 'n182', 'n184', 'n186', 'n187', 'net_2_g134', 'net_1_g134', 'net_0_g134', 'n190', 'n191', '223', '329', '370', '421', '430', '431', '432']
010001110001000011001000000100101000 | ['n43', 'n45', 'n49', 'n59', 'ZN_neg_g017', 'n60', 'n77', 'n101', 'n102', 'n103', 'n105', 'n106', 'net_2_g056', 'net_1_g056', 'net_0_g056', 'n107', 'n108', 'n119', 'n127', 'net_000_g072', 'n129', 'n141', 'n146', 'n148', 'n150', 'n151', 'n152', 'n154', 'n155', 'n157', 'n158', 'n159', 'n160', 'n161', 'n163', 'n165', 'n166', 'n167', 'n174', 'n178', 'n181', 'n182', 'n183', 'n184', 'net_0_g128', 'n186', 'n187', 'net_2_g134', 'net_1_g134', 'net_0_g134', 'n190', 'n191', '223', '329', '421', '431', '432']
100100000001001111101011011001001001 | ['n46', 'n47', 'n48', 'n49', 'ZN_neg_g017', 'n60', 'n66', 'net_000_g024', 'n67', 'n68', 'n69', 'n74', 'n108', 'n119', 'ZN_neg_g066', 'n122', 'n123', 'n124', 'n127', 'n134', 'n137', 'n140', 'n141', 'n144', 'n147', 'n148', 'ZN_neg_g093', 'n151', 'n152', 'n154', 'n158', 'n159', 'n160', 'n161', 'n164', 'n167', 'n172', 'n173', 'n174', 'n175', 'n178', 'n179', 'n180', 'n181', 'n182', 'n183', 'n184', 'net_0_g128', 'n186', 'n187', 'n189', 'n190', 'net_0_g136', '223', '329', '370', '421', '430', '431', '432']
001001111011100001011100011000100011 | ['ZN_neg_g017', 'n60', 'n72', 'n73', 'n96', 'net_0_g048', 'n97', 'n99', 'n101', 'n102', 'n103', 'n105', 'n106', 'net_2_g056', 'net_1_g056', 'net_0_g056', 'n107', 'n108', 'n119', 'n123', 'n124', 'n127', 'n134', 'n137', 'n140', 'n141', 'n144', 'n146', 'n147', 'n148', 'ZN_neg_g093', 'n151', 'n152', 'n153', 'n154', 'n155', 'n162', 'n163', 'n165', 'n166', 'n167', 'n174', 'n177', 'n178', 'n179', 'n182', 'n183', 'n184', 'net_1_g129', 'net_0_g129', 'n186', 'n187', 'net_2_g134', 'net_1_g134', 'net_0_g134', 'n190', 'n191', '223', '329', '370', '421', '430', '431', '432']
011111110001110111001010011000010001 | ['n45', 'n46', 'n49', 'n53', 'ZN_neg_g017', 'n60', 'n65', 'n72', 'n73', 'n74', 'n77', 'ZN_neg_g035', 'n78', 'n81', 'ZN_neg_g039', 'n82', 'n84', 'n88', 'n94', 'n100', 'n102', 'net_0_g053', 'n103', 'n105', 'n106', 'n107', 'n108', 'n119', 'ZN_neg_g066', 'n122', 'n130', 'n141', 'n148', 'n151', 'n152', 'n154', 'n155', 'n157', 'n158', 'n159', 'n160', 'n161', 'n162', 'n164', 'n165', 'n166', 'n167', 'n178', 'n179', 'n180', 'n181', 'n182', 'n183', 'n184', 'n186', 'n187', 'net_2_g132', 'net_1_g132', 'net_0_g132', 'net_0_g134', 'n190', 'n191', '223', '329', '430', '431', '432']
100001010100010111101000100101101011 | ['n50', 'n52', 'n53', 'n59', 'ZN_neg_g017', 'n60', 'n81', 'n83', 'n88', 'net_1_g056', 'net_0_g056', 'n107', 'n108', 'n119', 'n127', 'net_000_g075', 'n132', 'n141', 'n148', 'n151', 'n163', 'n164', 'n165', 'n166', 'n175', 'n182', 'net_1_g132', 'net_0_g132', 'n191', '223', '329', '421', '430', '431', '432']
100100011101110001101011110001101011 | ['n49', 'n50', 'n53', 'n55', 'ZN_neg_g017', 'n60', 'n65', 'n68', 'n69', 'n70', 'n71', 'n74', 'n77', 'ZN_neg_g035', 'n78', 'n81', 'ZN_neg_g039', 'n82', 'n84', 'n88', 'n90', 'n94', 'n100', 'n101', 'n102', 'n106', 'n107', 'n108', 'n119', 'ZN_neg_g066', 'n122', 'n123', 'net_000_g068', 'n124', 'n125', 'n130', 'n133', 'n134', 'n141', 'n146', 'n148', 'n151', 'n152', 'n154', 'n155', 'n157', 'n158', 'net_0_g102', 'n159', 'n160', 'n161', 'n164', 'n166', 'n167', 'n168', 'n171', 'n172', 'n173', 'n178', 'n180', 'n181', 'net_0_g125', 'n182', 'n183', 'n184', 'n186', 'n187', 'n189', 'n191', '223', '329', '431']
101010010010011110011111100010011001 | ['n46', 'n50', 'n52', 'n53', 'n59', 'ZN_neg_g017', 'n60', 'n65', 'n74', 'n77', 'ZN_neg_g035', 'n78', 'n81', 'ZN_neg_g039', 'n82', 'n83', 'n84', 'n88', 'n94', 'n100', 'n106', 'n107', 'n108', 'n119', 'ZN_neg_g066', 'n122', 'n126', 'n127', 'n129', 'n130', 'n133', 'n134', 'n136', 'n137', 'n140', 'n141', 'n144', 'n147', 'n148', 'ZN_neg_g093', 'n151', 'n154', 'n155', 'n162', 'n164', 'n167', 'n177', 'n180', 'n181', 'net_0_g126', 'n182', 'n183', 'n184', 'net_0_g128', 'net_0_g129', 'n186', 'n187', 'n191', '223', '329', '370', '421', '430', '431', '432']
010101110000111000011010011011111110 | ['n45', 'n49', 'ZN_neg_g017', 'n60', 'n65', 'n68', 'n69', 'n72', 'n73', 'n74', 'n77', 'ZN_neg_g039', 'n82', 'n83', 'n84', 'n88', 'n94', 'n100', 'n106', 'n107', 'n119', 'n127', 'n148', 'n150', 'n151', 'n157', 'n165', 'n166', 'n179', 'n182', 'n184', 'n186', '223', '421']
111101111100010001111111110111010100 | ['n52', 'n53', 'n59', 'ZN_neg_g017', 'n60', 'ZN_neg_g020', 'n63', 'n64', 'n66', 'n67', 'n83', 'n84', 'n88', 'n90', 'net_1_g056', 'net_0_g056', 'n107', 'n108', 'n119', 'n127', 'n134', 'n136', 'n137', 'n148', 'n151', 'n154', 'n155', 'n162', 'n167', 'n180', 'n181', 'n182', 'n183', 'n184', 'net_0_g128', 'net_0_g129', 'n186', 'n187', 'n191', '223', '329', '421', '430', '431', '432']
