circuit,percentage,method,spr_reliability
c7552,0.1,gates_deep,0.064407933817
c7552,0.2,gates_deep,0.064409218751
c7552,0.3,gates_deep,0.064410558384
c7552,0.4,gates_deep,0.064411173020
c7552,0.5,gates_deep,0.064412005406
c7552,0.6,gates_deep,0.064412282835
c7552,0.7,gates_deep,0.064412784919
c7552,0.8,gates_deep,0.064412800966
c7552,0.9,gates_deep,0.064413080641
c7552,1.0,gates_deep,0.064413158581
c7552,0.1,gates_max,0.064408179358
c7552,0.2,gates_max,0.064409764743
c7552,0.3,gates_max,0.064411168434
c7552,0.4,gates_max,0.064412124634
c7552,0.5,gates_max,0.064412422690
c7552,0.6,gates_max,0.064412927051
c7552,0.7,gates_max,0.064413066887
c7552,0.8,gates_max,0.064413105857
c7552,0.9,gates_max,0.064413149412
c7552,1.0,gates_max,0.064413158581
c7552,0.1,gates_sum,0.064408211484
c7552,0.2,gates_sum,0.064409659220
c7552,0.3,gates_sum,0.064410452878
c7552,0.4,gates_sum,0.064411521585
c7552,0.5,gates_sum,0.064412324104
c7552,0.6,gates_sum,0.064412697803
c7552,0.7,gates_sum,0.064412917881
c7552,0.8,gates_sum,0.064413064595
c7552,0.9,gates_sum,0.064413149412
c7552,1.0,gates_sum,0.064413158581
