circuit,percentage,method,spr_reliability
c3540,0.1,gates_deep,100
c3540,0.2,gates_deep,104
c3540,0.3,gates_deep,108
c3540,0.4,gates_deep,112
c3540,0.5,gates_deep,116
c3540,0.6,gates_deep,119
c3540,0.7,gates_deep,121
c3540,0.8,gates_deep,123
c3540,0.9,gates_deep,125
c3540,1.0,gates_deep,125
c3540,0.1,gates_max,101
c3540,0.2,gates_max,107
c3540,0.3,gates_max,112
c3540,0.4,gates_max,117
c3540,0.5,gates_max,121
c3540,0.6,gates_max,123
c3540,0.7,gates_max,124
c3540,0.8,gates_max,124
c3540,0.9,gates_max,125
c3540,1.0,gates_max,125
c3540,0.1,gates_sum,101
c3540,0.2,gates_sum,107
c3540,0.3,gates_sum,113
c3540,0.4,gates_sum,117
c3540,0.5,gates_sum,121
c3540,0.6,gates_sum,123
c3540,0.7,gates_sum,124
c3540,0.8,gates_sum,125
c3540,0.9,gates_sum,125
c3540,1.0,gates_sum,125
