circuit,percentage,method,spr_reliability
c1355,0.1,gates_deep,20
c1355,0.2,gates_deep,24
c1355,0.3,gates_deep,28
c1355,0.4,gates_deep,32
c1355,0.5,gates_deep,33
c1355,0.6,gates_deep,39
c1355,0.7,gates_deep,44
c1355,0.8,gates_deep,52
c1355,0.9,gates_deep,71
c1355,1.0,gates_deep,164
c1355,0.1,gates_max,20
c1355,0.2,gates_max,24
c1355,0.3,gates_max,28
c1355,0.4,gates_max,32
c1355,0.5,gates_max,37
c1355,0.6,gates_max,43
c1355,0.7,gates_max,52
c1355,0.8,gates_max,81
c1355,0.9,gates_max,138
c1355,1.0,gates_max,164
c1355,0.1,gates_sum,20
c1355,0.2,gates_sum,24
c1355,0.3,gates_sum,28
c1355,0.4,gates_sum,32
c1355,0.5,gates_sum,37
c1355,0.6,gates_sum,44
c1355,0.7,gates_sum,69
c1355,0.8,gates_sum,103
c1355,0.9,gates_sum,137
c1355,1.0,gates_sum,164
