circuit,percentage,method,spr_reliability
c880,0.1,gates_deep,24
c880,0.2,gates_deep,28
c880,0.3,gates_deep,31
c880,0.4,gates_deep,35
c880,0.5,gates_deep,40
c880,0.6,gates_deep,51
c880,0.7,gates_deep,63
c880,0.8,gates_deep,95
c880,0.9,gates_deep,138
c880,1.0,gates_deep,202
c880,0.1,gates_max,25
c880,0.2,gates_max,31
c880,0.3,gates_max,42
c880,0.4,gates_max,56
c880,0.5,gates_max,72
c880,0.6,gates_max,97
c880,0.7,gates_max,123
c880,0.8,gates_max,156
c880,0.9,gates_max,184
c880,1.0,gates_max,202
c880,0.1,gates_sum,25
c880,0.2,gates_sum,32
c880,0.3,gates_sum,42
c880,0.4,gates_sum,55
c880,0.5,gates_sum,75
c880,0.6,gates_sum,99
c880,0.7,gates_sum,129
c880,0.8,gates_sum,157
c880,0.9,gates_sum,190
c880,1.0,gates_sum,202
