circuit,percentage,method,spr_reliability
c432,0.1,gates_deep,2797
c432,0.2,gates_deep,3416
c432,0.3,gates_deep,4049
c432,0.4,gates_deep,5038
c432,0.5,gates_deep,5361
c432,0.6,gates_deep,7877
c432,0.7,gates_deep,10943
c432,0.8,gates_deep,13480
c432,0.9,gates_deep,16857
c432,1.0,gates_deep,22363
c432,0.1,gates_max,2809
c432,0.2,gates_max,3496
c432,0.3,gates_max,4786
c432,0.4,gates_max,6240
c432,0.5,gates_max,7200
c432,0.6,gates_max,8969
c432,0.7,gates_max,11637
c432,0.8,gates_max,15766
c432,0.9,gates_max,19571
c432,1.0,gates_max,22363
c432,0.1,gates_sum,2814
c432,0.2,gates_sum,3626
c432,0.3,gates_sum,4889
c432,0.4,gates_sum,6406
c432,0.5,gates_sum,8249
c432,0.6,gates_sum,10117
c432,0.7,gates_sum,12212
c432,0.8,gates_sum,15167
c432,0.9,gates_sum,18707
c432,1.0,gates_sum,22363
