circuit,percentage,method,spr_reliability
c1908,0.1,gates_deep,17
c1908,0.2,gates_deep,20
c1908,0.3,gates_deep,22
c1908,0.4,gates_deep,25
c1908,0.5,gates_deep,27
c1908,0.6,gates_deep,30
c1908,0.7,gates_deep,36
c1908,0.8,gates_deep,46
c1908,0.9,gates_deep,66
c1908,1.0,gates_deep,142
c1908,0.1,gates_max,17
c1908,0.2,gates_max,19
c1908,0.3,gates_max,29
c1908,0.4,gates_max,41
c1908,0.5,gates_max,57
c1908,0.6,gates_max,95
c1908,0.7,gates_max,114
c1908,0.8,gates_max,128
c1908,0.9,gates_max,138
c1908,1.0,gates_max,142
c1908,0.1,gates_sum,19
c1908,0.2,gates_sum,25
c1908,0.3,gates_sum,31
c1908,0.4,gates_sum,41
c1908,0.5,gates_sum,54
c1908,0.6,gates_sum,95
c1908,0.7,gates_sum,114
c1908,0.8,gates_sum,128
c1908,0.9,gates_sum,138
c1908,1.0,gates_sum,142
