percentage,gates_deep,gates_max,gates_sum
0.0,8.912226468783,8.912226468783,8.912226468783
0.1,8.918000212882,8.918664135586,8.918556935595
0.2,8.919864047139,8.92011777475,8.920003351467
0.3,8.920447487381,8.920800737827,8.920821048452
0.4,8.921132390271,8.921261055324,8.921239284229
0.5,8.921456135021,8.921593172213,8.921595456271
0.6,8.921827817136,8.921871178836,8.921858973414
0.7,8.922100012109,8.922048653601,8.922037976552
0.8,8.922294548656,8.922218254328,8.922211601307
0.9,8.922423746581,8.922390490665,8.922385199883
1.0,8.922521605142,8.922521605142,8.922521605142
