circuit,percentage,method,spr_reliability
c499,0.1,gates_deep,20
c499,0.2,gates_deep,24
c499,0.3,gates_deep,28
c499,0.4,gates_deep,32
c499,0.5,gates_deep,33
c499,0.6,gates_deep,39
c499,0.7,gates_deep,44
c499,0.8,gates_deep,52
c499,0.9,gates_deep,71
c499,1.0,gates_deep,164
c499,0.1,gates_max,20
c499,0.2,gates_max,24
c499,0.3,gates_max,28
c499,0.4,gates_max,32
c499,0.5,gates_max,37
c499,0.6,gates_max,43
c499,0.7,gates_max,52
c499,0.8,gates_max,85
c499,0.9,gates_max,138
c499,1.0,gates_max,164
c499,0.1,gates_sum,20
c499,0.2,gates_sum,24
c499,0.3,gates_sum,28
c499,0.4,gates_sum,33
c499,0.5,gates_sum,37
c499,0.6,gates_sum,45
c499,0.7,gates_sum,69
c499,0.8,gates_sum,103
c499,0.9,gates_sum,136
c499,1.0,gates_sum,164
