,percentage,selected_gates,difference,max_sum_total_vectors_for_selected_gates,max_sum_total_vectors_remaining_gates,deep_fanout_total_vectors_for_selected_gates,deep_fanout_total_vectors_remaining_gates
0,0.1,61,2013,11400,26667,9387,28680
1,0.2,121,2950,19032,19035,16082,21985
2,0.3,182,3963,26003,12064,22040,16027
3,0.4,242,3934,30538,7529,26604,11463
4,0.5,303,3144,33798,4269,30654,7413
5,0.6,363,2946,35905,2162,32959,5108
6,0.7,424,1556,37027,1040,35471,2596
7,0.8,484,1152,37583,484,36431,1636
8,0.9,545,257,37916,151,37659,408
9,1.0,605,0,38067,0,38067,0
