,percentage,selected_gates,difference,max_sum_total_vectors_for_selected_gates,max_sum_total_vectors_remaining_gates,deep_fanout_total_vectors_for_selected_gates,deep_fanout_total_vectors_remaining_gates
0,0.1,96,5225,27785,74232,22560,79457
1,0.2,192,8270,45962,56055,37692,64325
2,0.3,288,4942,57568,44449,52626,49391
3,0.4,384,8175,68771,33246,60596,41421
4,0.5,480,6513,79046,22971,72533,29484
5,0.6,576,9344,88294,13723,78950,23067
6,0.7,672,8588,94043,7974,85455,16562
7,0.8,768,9398,98270,3747,88872,13145
8,0.9,864,7008,101200,817,94192,7825
9,1.0,960,0,102017,0,102017,0
