,percentage,selected_gates,gates_max,gates_sum,gates_deep_fanout,deep_fanout_difference,max_sum_difference,sum_total_vectors_for_selected_gates,sum_total_vectors_remaining_gates,max_sum_total_vectors_for_selected_gates,max_sum_total_vectors_remaining_gates,deep_fanout_total_vectors_for_selected_gates,deep_fanout_total_vectors_remaining_gates
0,0.1,14,"{'g132', 'g110', 'g093', 'g018', 'g136', 'g130', 'g135', 'g017', 'g120', 'g058', 'g128', 'g057', 'g126', 'g129'}","{'g132', 'g110', 'g093', 'g134', 'g018', 'g136', 'g135', 'g017', 'g120', 'g128', 'g058', 'g057', 'g126', 'g129'}","{'g132', 'g093', 'g018', 'g136', 'g123', 'g130', 'g125', 'g057', 'g017', 'g058', 'g128', 'g120', 'g126', 'g129'}",421,235,8909,15615,8674,15850,8488,16036
1,0.2,28,"{'g132', 'g093', 'g018', 'g127', 'g123', 'g111', 'g017', 'g109', 'g128', 'g126', 'g129', 'g099', 'g108', 'g071', 'g131', 'g057', 'g134', 'g136', 'g095', 'g135', 'g056', 'g058', 'g110', 'g092', 'g130', 'g125', 'g120', 'g098'}","{'g132', 'g093', 'g018', 'g123', 'g111', 'g017', 'g109', 'g128', 'g126', 'g129', 'g099', 'g108', 'g071', 'g016', 'g119', 'g105', 'g057', 'g134', 'g136', 'g095', 'g135', 'g056', 'g058', 'g110', 'g130', 'g125', 'g120', 'g106'}","{'g132', 'g093', 'g018', 'g123', 'g017', 'g128', 'g126', 'g129', 'g094', 'g071', 'g131', 'g016', 'g119', 'g057', 'g085', 'g134', 'g121', 'g136', 'g006', 'g095', 'g135', 'g058', 'g092', 'g078', 'g130', 'g125', 'g120', 'g106'}",937,331,13548,10976,13217,11307,12611,11913
2,0.3,42,"{'g132', 'g103', 'g093', 'g018', 'g127', 'g123', 'g111', 'g122', 'g017', 'g109', 'g128', 'g118', 'g126', 'g129', 'g099', 'g108', 'g124', 'g031', 'g071', 'g131', 'g016', 'g119', 'g105', 'g057', 'g085', 'g055', 'g134', 'g096', 'g136', 'g095', 'g135', 'g056', 'g058', 'g110', 'g092', 'g078', 'g130', 'g125', 'g120', 'g063', 'g106', 'g098'}","{'g132', 'g103', 'g093', 'g018', 'g123', 'g127', 'g111', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g129', 'g099', 'g108', 'g031', 'g071', 'g016', 'g131', 'g119', 'g105', 'g057', 'g085', 'g134', 'g096', 'g136', 'g121', 'g095', 'g135', 'g056', 'g058', 'g110', 'g092', 'g078', 'g130', 'g125', 'g035', 'g120', 'g063', 'g106', 'g098'}","{'g132', 'g103', 'g107', 'g093', 'g018', 'g123', 'g017', 'g118', 'g128', 'g039', 'g126', 'g129', 'g094', 'g099', 'g108', 'g071', 'g131', 'g016', 'g119', 'g005', 'g105', 'g080', 'g057', 'g085', 'g083', 'g134', 'g121', 'g136', 'g006', 'g095', 'g135', 'g058', 'g110', 'g092', 'g076', 'g078', 'g130', 'g125', 'g035', 'g120', 'g106', 'g090'}",1592,210,16907,7617,16697,7827,15315,9209
3,0.4,55,"{'g132', 'g103', 'g093', 'g018', 'g010', 'g127', 'g123', 'g111', 'g122', 'g017', 'g109', 'g128', 'g118', 'g050', 'g039', 'g126', 'g129', 'g099', 'g108', 'g124', 'g031', 'g071', 'g131', 'g016', 'g007', 'g119', 'g042', 'g105', 'g057', 'g085', 'g055', 'g134', 'g096', 'g136', 'g121', 'g006', 'g095', 'g135', 'g056', 'g102', 'g058', 'g110', 'g092', 'g104', 'g076', 'g078', 'g130', 'g022', 'g125', 'g045', 'g035', 'g120', 'g063', 'g106', 'g098'}","{'g132', 'g103', 'g093', 'g018', 'g010', 'g123', 'g127', 'g111', 'g122', 'g017', 'g109', 'g128', 'g118', 'g050', 'g039', 'g126', 'g129', 'g099', 'g108', 'g124', 'g031', 'g071', 'g016', 'g131', 'g007', 'g119', 'g042', 'g105', 'g057', 'g085', 'g055', 'g134', 'g096', 'g136', 'g121', 'g066', 'g095', 'g135', 'g056', 'g102', 'g037', 'g058', 'g110', 'g092', 'g104', 'g078', 'g130', 'g022', 'g125', 'g045', 'g035', 'g120', 'g063', 'g106', 'g098'}","{'g132', 'g103', 'g107', 'g093', 'g018', 'g123', 'g127', 'g084', 'g122', 'g017', 'g118', 'g128', 'g039', 'g081', 'g126', 'g129', 'g094', 'g099', 'g108', 'g124', 'g077', 'g031', 'g071', 'g131', 'g016', 'g119', 'g005', 'g105', 'g080', 'g057', 'g085', 'g083', 'g070', 'g134', 'g121', 'g136', 'g088', 'g006', 'g066', 'g095', 'g135', 'g056', 'g058', 'g110', 'g092', 'g076', 'g078', 'g130', 'g125', 'g035', 'g091', 'g120', 'g063', 'g106', 'g090'}",1579,97,18983,5541,18886,5638,17404,7120
4,0.5,69,"{'g132', 'g103', 'g107', 'g093', 'g018', 'g010', 'g127', 'g123', 'g111', 'g122', 'g046', 'g017', 'g109', 'g128', 'g118', 'g050', 'g039', 'g040', 'g126', 'g129', 'g099', 'g077', 'g108', 'g124', 'g012', 'g031', 'g071', 'g131', 'g016', 'g007', 'g119', 'g042', 'g002', 'g105', 'g057', 'g085', 'g055', 'g070', 'g134', 'g096', 'g136', 'g121', 'g006', 'g088', 'g095', 'g135', 'g056', 'g102', 'g058', 'g041', 'g110', 'g092', 'g104', 'g076', 'g078', 'g130', 'g022', 'g125', 'g045', 'g052', 'g117', 'g101', 'g035', 'g091', 'g120', 'g063', 'g106', 'g051', 'g098'}","{'g132', 'g103', 'g093', 'g018', 'g010', 'g123', 'g127', 'g084', 'g111', 'g122', 'g017', 'g109', 'g128', 'g118', 'g050', 'g039', 'g081', 'g126', 'g129', 'g099', 'g077', 'g108', 'g124', 'g012', 'g031', 'g071', 'g016', 'g131', 'g007', 'g119', 'g042', 'g105', 'g057', 'g085', 'g055', 'g070', 'g134', 'g021', 'g096', 'g136', 'g121', 'g008', 'g006', 'g088', 'g066', 'g095', 'g033', 'g135', 'g056', 'g102', 'g037', 'g058', 'g110', 'g092', 'g104', 'g078', 'g130', 'g022', 'g125', 'g045', 'g101', 'g117', 'g035', 'g091', 'g120', 'g063', 'g089', 'g106', 'g098'}","{'g132', 'g103', 'g107', 'g093', 'g018', 'g133', 'g123', 'g127', 'g084', 'g079', 'g122', 'g017', 'g118', 'g128', 'g065', 'g039', 'g081', 'g126', 'g129', 'g094', 'g099', 'g108', 'g124', 'g077', 'g031', 'g074', 'g071', 'g115', 'g086', 'g131', 'g016', 'g007', 'g119', 'g005', 'g075', 'g105', 'g080', 'g057', 'g085', 'g083', 'g070', 'g068', 'g134', 'g121', 'g136', 'g088', 'g006', 'g082', 'g066', 'g095', 'g135', 'g056', 'g058', 'g110', 'g092', 'g076', 'g072', 'g078', 'g130', 'g097', 'g125', 'g035', 'g091', 'g120', 'g063', 'g089', 'g112', 'g106', 'g090'}",2057,315,20464,4060,20149,4375,18407,6117
5,0.6,83,"{'g010', 'g127', 'g111', 'g046', 'g050', 'g099', 'g012', 'g007', 'g005', 'g105', 'g085', 'g070', 'g096', 'g121', 'g003', 'g066', 'g135', 'g056', 'g041', 'g015', 'g078', 'g130', 'g022', 'g125', 'g052', 'g035', 'g063', 'g106', 'g090', 'g132', 'g018', 'g084', 'g038', 'g129', 'g108', 'g074', 'g031', 'g071', 'g131', 'g042', 'g057', 'g083', 'g134', 'g136', 'g006', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g016', 'g044', 'g002', 'g088', 'g095', 'g102', 'g117', 'g051', 'g103', 'g107', 'g093', 'g123', 'g122', 'g043', 'g047', 'g040', 'g081', 'g077', 'g124', 'g008', 'g058', 'g110', 'g101', 'g045', 'g091', 'g119', 'g098'}","{'g010', 'g127', 'g111', 'g059', 'g050', 'g099', 'g012', 'g007', 'g075', 'g105', 'g085', 'g070', 'g054', 'g096', 'g121', 'g066', 'g135', 'g056', 'g015', 'g078', 'g130', 'g022', 'g125', 'g052', 'g035', 'g063', 'g106', 'g132', 'g018', 'g084', 'g129', 'g108', 'g086', 'g031', 'g071', 'g131', 'g042', 'g057', 'g134', 'g021', 'g136', 'g006', 'g033', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g028', 'g016', 'g088', 'g095', 'g004', 'g102', 'g117', 'g053', 'g051', 'g103', 'g107', 'g093', 'g024', 'g123', 'g122', 'g081', 'g077', 'g124', 'g068', 'g008', 'g037', 'g058', 'g110', 'g101', 'g045', 'g091', 'g119', 'g089', 'g098'}","{'g010', 'g133', 'g127', 'g111', 'g050', 'g094', 'g099', 'g012', 'g072', 'g007', 'g005', 'g075', 'g105', 'g080', 'g085', 'g070', 'g121', 'g096', 'g082', 'g003', 'g066', 'g135', 'g056', 'g078', 'g130', 'g097', 'g125', 'g035', 'g063', 'g106', 'g090', 'g132', 'g018', 'g079', 'g084', 'g129', 'g108', 'g074', 'g031', 'g086', 'g071', 'g131', 'g042', 'g057', 'g083', 'g134', 'g021', 'g136', 'g006', 'g092', 'g076', 'g120', 'g055', 'g017', 'g118', 'g128', 'g039', 'g126', 'g016', 'g088', 'g095', 'g103', 'g107', 'g093', 'g024', 'g123', 'g122', 'g065', 'g081', 'g077', 'g124', 'g115', 'g068', 'g008', 'g058', 'g110', 'g101', 'g045', 'g091', 'g119', 'g089', 'g112', 'g098'}",922,338,21609,2915,21271,3253,20687,3837
6,0.7,96,"{'g025', 'g010', 'g069', 'g127', 'g111', 'g046', 'g050', 'g099', 'g012', 'g007', 'g005', 'g105', 'g080', 'g085', 'g070', 'g054', 'g096', 'g121', 'g003', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g078', 'g130', 'g022', 'g125', 'g052', 'g035', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g084', 'g038', 'g129', 'g108', 'g074', 'g031', 'g071', 'g131', 'g042', 'g057', 'g083', 'g029', 'g134', 'g021', 'g136', 'g006', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g016', 'g044', 'g002', 'g088', 'g095', 'g004', 'g102', 'g117', 'g053', 'g051', 'g103', 'g107', 'g093', 'g123', 'g122', 'g043', 'g047', 'g040', 'g081', 'g026', 'g077', 'g124', 'g030', 'g008', 'g037', 'g058', 'g110', 'g101', 'g045', 'g091', 'g119', 'g098'}","{'g010', 'g127', 'g111', 'g046', 'g059', 'g050', 'g099', 'g072', 'g012', 'g007', 'g005', 'g075', 'g105', 'g085', 'g070', 'g054', 'g096', 'g121', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g078', 'g130', 'g022', 'g125', 'g052', 'g035', 'g063', 'g106', 'g132', 'g018', 'g079', 'g084', 'g038', 'g129', 'g108', 'g086', 'g031', 'g071', 'g131', 'g042', 'g057', 'g134', 'g021', 'g136', 'g006', 'g033', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g028', 'g016', 'g002', 'g088', 'g095', 'g004', 'g102', 'g036', 'g117', 'g053', 'g051', 'g103', 'g107', 'g093', 'g024', 'g123', 'g122', 'g043', 'g047', 'g081', 'g040', 'g077', 'g124', 'g023', 'g068', 'g008', 'g037', 'g058', 'g110', 'g101', 'g045', 'g091', 'g119', 'g089', 'g098'}","{'g010', 'g133', 'g069', 'g127', 'g111', 'g050', 'g094', 'g099', 'g012', 'g072', 'g007', 'g005', 'g075', 'g105', 'g080', 'g085', 'g070', 'g054', 'g121', 'g096', 'g082', 'g003', 'g066', 'g135', 'g056', 'g015', 'g078', 'g130', 'g097', 'g125', 'g035', 'g063', 'g106', 'g090', 'g132', 'g018', 'g079', 'g084', 'g129', 'g108', 'g074', 'g031', 'g086', 'g071', 'g131', 'g042', 'g057', 'g083', 'g134', 'g021', 'g136', 'g006', 'g033', 'g100', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g118', 'g128', 'g109', 'g039', 'g126', 'g028', 'g016', 'g049', 'g088', 'g095', 'g004', 'g103', 'g107', 'g093', 'g024', 'g123', 'g122', 'g065', 'g081', 'g026', 'g077', 'g124', 'g115', 'g068', 'g030', 'g008', 'g037', 'g058', 'g110', 'g101', 'g045', 'g091', 'g119', 'g089', 'g112', 'g098'}",473,314,22508,2016,22194,2330,22035,2489
7,0.8,110,"{'g025', 'g010', 'g069', 'g127', 'g032', 'g111', 'g046', 'g050', 'g099', 'g012', 'g062', 'g007', 'g005', 'g048', 'g105', 'g080', 'g085', 'g070', 'g054', 'g096', 'g121', 'g003', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g009', 'g078', 'g130', 'g022', 'g125', 'g052', 'g035', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g084', 'g019', 'g038', 'g129', 'g108', 'g074', 'g031', 'g071', 'g131', 'g042', 'g057', 'g083', 'g000', 'g029', 'g134', 'g021', 'g136', 'g006', 'g033', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g016', 'g044', 'g002', 'g049', 'g088', 'g095', 'g004', 'g102', 'g116', 'g036', 'g117', 'g053', 'g051', 'g103', 'g107', 'g093', 'g024', 'g123', 'g122', 'g043', 'g047', 'g040', 'g081', 'g026', 'g077', 'g124', 'g023', 'g030', 'g087', 'g008', 'g037', 'g058', 'g110', 'g014', 'g101', 'g045', 'g091', 'g119', 'g098'}","{'g010', 'g133', 'g127', 'g032', 'g111', 'g046', 'g059', 'g050', 'g099', 'g072', 'g012', 'g007', 'g005', 'g075', 'g048', 'g105', 'g085', 'g070', 'g054', 'g096', 'g121', 'g082', 'g003', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g078', 'g130', 'g022', 'g125', 'g097', 'g052', 'g035', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g079', 'g084', 'g038', 'g129', 'g108', 'g086', 'g031', 'g074', 'g071', 'g131', 'g042', 'g057', 'g083', 'g113', 'g134', 'g021', 'g136', 'g006', 'g033', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g028', 'g016', 'g044', 'g002', 'g049', 'g088', 'g095', 'g004', 'g102', 'g036', 'g117', 'g053', 'g051', 'g103', 'g107', 'g093', 'g024', 'g123', 'g122', 'g065', 'g043', 'g047', 'g081', 'g040', 'g077', 'g124', 'g023', 'g068', 'g008', 'g037', 'g058', 'g110', 'g101', 'g045', 'g091', 'g119', 'g089', 'g098'}","{'g010', 'g133', 'g069', 'g127', 'g111', 'g059', 'g050', 'g094', 'g099', 'g012', 'g072', 'g062', 'g007', 'g005', 'g075', 'g105', 'g080', 'g085', 'g070', 'g054', 'g121', 'g096', 'g082', 'g003', 'g066', 'g135', 'g056', 'g015', 'g078', 'g130', 'g097', 'g125', 'g022', 'g035', 'g073', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g079', 'g084', 'g061', 'g038', 'g129', 'g114', 'g108', 'g074', 'g031', 'g086', 'g071', 'g131', 'g042', 'g057', 'g083', 'g001', 'g134', 'g021', 'g136', 'g006', 'g033', 'g100', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g118', 'g128', 'g109', 'g039', 'g126', 'g028', 'g016', 'g049', 'g088', 'g095', 'g004', 'g102', 'g117', 'g064', 'g103', 'g107', 'g067', 'g093', 'g024', 'g123', 'g122', 'g065', 'g081', 'g026', 'g077', 'g124', 'g115', 'g068', 'g030', 'g087', 'g008', 'g037', 'g058', 'g110', 'g101', 'g045', 'g091', 'g119', 'g089', 'g112', 'g098'}",381,314,23366,1158,23052,1472,22985,1539
8,0.9,124,"{'g025', 'g010', 'g069', 'g133', 'g127', 'g032', 'g111', 'g046', 'g059', 'g050', 'g099', 'g094', 'g012', 'g062', 'g007', 'g005', 'g048', 'g105', 'g080', 'g085', 'g070', 'g054', 'g096', 'g121', 'g003', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g009', 'g078', 'g130', 'g022', 'g125', 'g097', 'g052', 'g035', 'g073', 'g011', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g084', 'g019', 'g038', 'g129', 'g114', 'g108', 'g074', 'g031', 'g071', 'g131', 'g042', 'g057', 'g083', 'g113', 'g000', 'g029', 'g001', 'g134', 'g021', 'g136', 'g006', 'g033', 'g100', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g028', 'g016', 'g044', 'g002', 'g049', 'g088', 'g095', 'g004', 'g102', 'g116', 'g036', 'g117', 'g053', 'g051', 'g103', 'g107', 'g093', 'g024', 'g123', 'g122', 'g043', 'g047', 'g040', 'g081', 'g026', 'g077', 'g124', 'g115', 'g023', 'g068', 'g030', 'g087', 'g008', 'g037', 'g058', 'g110', 'g014', 'g101', 'g045', 'g091', 'g119', 'g089', 'g098'}","{'g025', 'g010', 'g133', 'g069', 'g127', 'g032', 'g111', 'g046', 'g059', 'g050', 'g099', 'g072', 'g012', 'g062', 'g007', 'g005', 'g075', 'g048', 'g105', 'g080', 'g085', 'g070', 'g054', 'g096', 'g121', 'g082', 'g003', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g078', 'g130', 'g022', 'g125', 'g097', 'g052', 'g035', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g079', 'g084', 'g061', 'g038', 'g129', 'g114', 'g108', 'g086', 'g031', 'g074', 'g071', 'g131', 'g042', 'g057', 'g083', 'g113', 'g000', 'g029', 'g001', 'g134', 'g021', 'g136', 'g006', 'g033', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g028', 'g016', 'g044', 'g002', 'g049', 'g088', 'g095', 'g004', 'g102', 'g116', 'g036', 'g117', 'g053', 'g051', 'g103', 'g107', 'g093', 'g024', 'g123', 'g122', 'g065', 'g043', 'g047', 'g081', 'g040', 'g026', 'g077', 'g124', 'g115', 'g023', 'g068', 'g030', 'g087', 'g008', 'g037', 'g058', 'g110', 'g101', 'g045', 'g091', 'g119', 'g089', 'g098'}","{'g010', 'g133', 'g069', 'g127', 'g111', 'g046', 'g059', 'g050', 'g094', 'g099', 'g012', 'g072', 'g062', 'g007', 'g005', 'g075', 'g105', 'g080', 'g085', 'g070', 'g054', 'g121', 'g096', 'g082', 'g003', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g078', 'g130', 'g097', 'g125', 'g022', 'g052', 'g035', 'g073', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g079', 'g084', 'g061', 'g019', 'g038', 'g129', 'g114', 'g108', 'g074', 'g031', 'g086', 'g071', 'g131', 'g042', 'g057', 'g083', 'g000', 'g001', 'g134', 'g021', 'g136', 'g006', 'g033', 'g100', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g118', 'g128', 'g109', 'g039', 'g126', 'g028', 'g016', 'g044', 'g002', 'g049', 'g088', 'g095', 'g004', 'g102', 'g117', 'g064', 'g053', 'g051', 'g103', 'g107', 'g067', 'g093', 'g024', 'g123', 'g122', 'g065', 'g043', 'g047', 'g081', 'g040', 'g026', 'g077', 'g124', 'g115', 'g068', 'g030', 'g087', 'g008', 'g037', 'g058', 'g110', 'g014', 'g101', 'g045', 'g091', 'g119', 'g089', 'g112', 'g098'}",176,181,24072,452,23891,633,23896,628
9,1.0,137,"{'g020', 'g025', 'g010', 'g069', 'g133', 'g127', 'g032', 'g111', 'g046', 'g059', 'g050', 'g013', 'g099', 'g094', 'g012', 'g062', 'g072', 'g007', 'g005', 'g060', 'g075', 'g048', 'g105', 'g080', 'g085', 'g070', 'g054', 'g096', 'g121', 'g082', 'g003', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g009', 'g078', 'g130', 'g022', 'g125', 'g097', 'g052', 'g035', 'g073', 'g011', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g079', 'g084', 'g061', 'g019', 'g038', 'g129', 'g114', 'g108', 'g074', 'g031', 'g086', 'g071', 'g131', 'g042', 'g057', 'g083', 'g113', 'g000', 'g029', 'g001', 'g134', 'g021', 'g136', 'g006', 'g033', 'g100', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g028', 'g016', 'g044', 'g002', 'g049', 'g088', 'g095', 'g004', 'g102', 'g116', 'g036', 'g117', 'g064', 'g053', 'g051', 'g103', 'g107', 'g067', 'g093', 'g024', 'g123', 'g122', 'g065', 'g043', 'g047', 'g040', 'g081', 'g026', 'g077', 'g124', 'g115', 'g023', 'g068', 'g030', 'g087', 'g008', 'g037', 'g058', 'g110', 'g014', 'g101', 'g045', 'g091', 'g119', 'g089', 'g112', 'g098'}","{'g020', 'g025', 'g010', 'g133', 'g069', 'g127', 'g032', 'g111', 'g046', 'g059', 'g050', 'g013', 'g099', 'g072', 'g012', 'g062', 'g094', 'g007', 'g005', 'g060', 'g075', 'g048', 'g105', 'g080', 'g085', 'g070', 'g054', 'g096', 'g121', 'g082', 'g003', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g009', 'g078', 'g130', 'g022', 'g125', 'g097', 'g052', 'g035', 'g073', 'g011', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g079', 'g084', 'g061', 'g019', 'g038', 'g129', 'g114', 'g108', 'g086', 'g031', 'g074', 'g071', 'g131', 'g042', 'g057', 'g083', 'g113', 'g000', 'g029', 'g001', 'g134', 'g021', 'g136', 'g006', 'g033', 'g100', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g109', 'g128', 'g118', 'g039', 'g126', 'g028', 'g016', 'g044', 'g002', 'g049', 'g088', 'g095', 'g004', 'g102', 'g116', 'g036', 'g117', 'g064', 'g053', 'g051', 'g103', 'g107', 'g067', 'g093', 'g024', 'g123', 'g122', 'g065', 'g043', 'g047', 'g081', 'g040', 'g026', 'g077', 'g124', 'g115', 'g023', 'g068', 'g030', 'g087', 'g008', 'g037', 'g058', 'g110', 'g014', 'g101', 'g045', 'g091', 'g119', 'g089', 'g112', 'g098'}","{'g020', 'g025', 'g010', 'g133', 'g069', 'g127', 'g032', 'g111', 'g046', 'g059', 'g050', 'g013', 'g094', 'g099', 'g012', 'g072', 'g062', 'g007', 'g005', 'g060', 'g075', 'g048', 'g105', 'g080', 'g085', 'g070', 'g054', 'g121', 'g096', 'g082', 'g003', 'g066', 'g135', 'g056', 'g027', 'g041', 'g015', 'g009', 'g078', 'g130', 'g097', 'g125', 'g022', 'g052', 'g035', 'g073', 'g011', 'g063', 'g106', 'g090', 'g132', 'g018', 'g034', 'g079', 'g084', 'g061', 'g019', 'g038', 'g129', 'g114', 'g108', 'g074', 'g031', 'g086', 'g071', 'g131', 'g042', 'g057', 'g083', 'g113', 'g000', 'g029', 'g001', 'g134', 'g021', 'g136', 'g006', 'g033', 'g100', 'g092', 'g076', 'g120', 'g055', 'g104', 'g017', 'g118', 'g128', 'g109', 'g039', 'g126', 'g028', 'g016', 'g044', 'g002', 'g049', 'g088', 'g095', 'g004', 'g102', 'g116', 'g036', 'g117', 'g064', 'g053', 'g051', 'g103', 'g107', 'g067', 'g093', 'g024', 'g123', 'g122', 'g065', 'g043', 'g047', 'g081', 'g040', 'g026', 'g077', 'g124', 'g115', 'g023', 'g068', 'g030', 'g087', 'g008', 'g037', 'g058', 'g110', 'g014', 'g101', 'g045', 'g091', 'g119', 'g089', 'g112', 'g098'}",0,0,24524,0,24524,0,24524,0
