,percentage,selected_gates,difference,max_sum_total_vectors_for_selected_gates,max_sum_total_vectors_remaining_gates,deep_fanout_total_vectors_for_selected_gates,deep_fanout_total_vectors_remaining_gates
0,0.1,213,10937,54065,209474,43128,220411
1,0.2,426,26250,102312,161227,76062,187477
2,0.3,639,46521,148349,115190,101828,161711
3,0.4,851,56801,181853,81686,125052,138487
4,0.5,1064,56658,204566,58973,147908,115631
5,0.6,1277,50473,221838,41701,171365,92174
6,0.7,1489,45764,238326,25213,192562,70977
7,0.8,1702,34280,251120,12419,216840,46699
8,0.9,1915,19600,259408,4131,239808,23731
9,1.0,2127,0,263539,0,263539,0
