,percentage,selected_gates,difference,max_sum_total_vectors_for_selected_gates,max_sum_total_vectors_remaining_gates,deep_fanout_total_vectors_for_selected_gates,deep_fanout_total_vectors_remaining_gates
0,0.1,23,323,5685,18172,5362,18495
1,0.2,46,341,8574,15283,8233,15624
2,0.3,69,1778,12373,11484,10595,13262
3,0.4,92,4949,17143,6714,12194,11663
4,0.5,115,6825,20379,3478,13554,10303
5,0.6,138,6849,22493,1364,15644,8213
6,0.7,161,6393,23238,619,16845,7012
7,0.8,184,4843,23580,277,18737,5120
8,0.9,207,2747,23785,72,21038,2819
9,1.0,230,0,23857,0,23857,0
